 168.46 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_0.vasp, 金属: Ir, 氧: O
 167.66 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_1.vasp, 金属: Ir, 氧: O
 166.84 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_2.vasp, 金属: Ir, 氧: O
 165.99 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_3.vasp, 金属: Ir, 氧: O
 165.12 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_4.vasp, 金属: Ir, 氧: O
 164.23 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_5.vasp, 金属: Ir, 氧: O
 163.32 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_6.vasp, 金属: Ir, 氧: O
 162.40 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_7.vasp, 金属: Ir, 氧: O
 161.47 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_8.vasp, 金属: Ir, 氧: O
 160.52 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_9.vasp, 金属: Ir, 氧: O
 159.56 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_10.vasp, 金属: Ir, 氧: O
 158.60 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_11.vasp, 金属: Ir, 氧: O
 157.62 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_12.vasp, 金属: Ir, 氧: O
 156.64 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_13.vasp, 金属: Ir, 氧: O
 155.65 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_14.vasp, 金属: Ir, 氧: O
 154.66 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_15.vasp, 金属: Ir, 氧: O
 153.66 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_16.vasp, 金属: Ir, 氧: O
 152.66 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_17.vasp, 金属: Ir, 氧: O
 151.65 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_18.vasp, 金属: Ir, 氧: O
 150.64 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_19.vasp, 金属: Ir, 氧: O
 149.63 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_20.vasp, 金属: Ir, 氧: O
 148.62 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_21.vasp, 金属: Ir, 氧: O
 147.61 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_22.vasp, 金属: Ir, 氧: O
 146.60 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_23.vasp, 金属: Ir, 氧: O
 145.59 , 文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_0.5\15\IrO6_24.vasp, 金属: Ir, 氧: O
