文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_0.vasp, 平面夹角:, 89.95 , 原子夹角: , 173.13 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_1.vasp, 平面夹角:, 89.03 , 原子夹角: , 173.86 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_2.vasp, 平面夹角:, 88.07 , 原子夹角: , 174.52 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_3.vasp, 平面夹角:, 87.11 , 原子夹角: , 175.08 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_4.vasp, 平面夹角:, 86.15 , 原子夹角: , 175.51 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_5.vasp, 平面夹角:, 85.20 , 原子夹角: , 175.76 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_6.vasp, 平面夹角:, 84.25 , 原子夹角: , 175.81 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_7.vasp, 平面夹角:, 83.31 , 原子夹角: , 175.64 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_8.vasp, 平面夹角:, 82.37 , 原子夹角: , 175.29 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_9.vasp, 平面夹角:, 81.44 , 原子夹角: , 174.80 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_10.vasp, 平面夹角:, 80.52 , 原子夹角: , 174.20 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_11.vasp, 平面夹角:, 79.60 , 原子夹角: , 173.54 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_12.vasp, 平面夹角:, 78.69 , 原子夹角: , 172.82 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_13.vasp, 平面夹角:, 77.79 , 原子夹角: , 172.07 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_14.vasp, 平面夹角:, 76.90 , 原子夹角: , 171.31 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_15.vasp, 平面夹角:, 76.03 , 原子夹角: , 170.53 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_16.vasp, 平面夹角:, 75.16 , 原子夹角: , 169.74 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_17.vasp, 平面夹角:, 74.30 , 原子夹角: , 168.95 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_18.vasp, 平面夹角:, 73.45 , 原子夹角: , 168.17 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_19.vasp, 平面夹角:, 72.62 , 原子夹角: , 167.39 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_20.vasp, 平面夹角:, 71.80 , 原子夹角: , 166.61 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_21.vasp, 平面夹角:, 70.99 , 原子夹角: , 165.84 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_22.vasp, 平面夹角:, 70.20 , 原子夹角: , 165.08 
