读取的文件: .\IrO6.vasp
角度: 0 度, 计算的夹角: 179.50 度, surface_angle: 4.50
角度: 1 度, 计算的夹角: 178.81 度, surface_angle: 3.81
角度: 2 度, 计算的夹角: 178.05 度, surface_angle: 3.12
角度: 3 度, 计算的夹角: 177.28 度, surface_angle: 2.43
角度: 4 度, 计算的夹角: 176.50 度, surface_angle: 1.75
角度: 5 度, 计算的夹角: 175.73 度, surface_angle: 1.06
角度: 6 度, 计算的夹角: 174.96 度, surface_angle: 0.37
角度: 7 度, 计算的夹角: 174.18 度, surface_angle: -0.32
角度: 8 度, 计算的夹角: 173.41 度, surface_angle: -1.00
角度: 9 度, 计算的夹角: 172.63 度, surface_angle: -1.69
角度: 10 度, 计算的夹角: 171.85 度, surface_angle: -2.38
角度: 11 度, 计算的夹角: 171.08 度, surface_angle: -3.06
角度: 12 度, 计算的夹角: 170.30 度, surface_angle: -3.75
角度: 13 度, 计算的夹角: 169.52 度, surface_angle: -4.44
角度: 14 度, 计算的夹角: 168.74 度, surface_angle: -5.13
角度: 15 度, 计算的夹角: 167.95 度, surface_angle: -5.82
角度: 16 度, 计算的夹角: 167.17 度, surface_angle: -6.50
角度: 17 度, 计算的夹角: 166.38 度, surface_angle: -7.20
角度: 18 度, 计算的夹角: 165.60 度, surface_angle: -7.89
角度: 19 度, 计算的夹角: 164.81 度, surface_angle: -8.58
角度: 20 度, 计算的夹角: 164.01 度, surface_angle: -9.28
角度: 21 度, 计算的夹角: 163.22 度, surface_angle: -9.97
角度: 22 度, 计算的夹角: 162.42 度, surface_angle: -10.67
角度: 23 度, 计算的夹角: 161.62 度, surface_angle: -11.37
角度: 24 度, 计算的夹角: 160.81 度, surface_angle: -12.07
角度: 25 度, 计算的夹角: 160.01 度, surface_angle: -12.78
角度: 26 度, 计算的夹角: 159.20 度, surface_angle: -13.48
角度: 27 度, 计算的夹角: 158.38 度, surface_angle: -14.19
角度: 28 度, 计算的夹角: 157.56 度, surface_angle: -14.90
角度: 29 度, 计算的夹角: 156.74 度, surface_angle: -15.62
角度: 30 度, 计算的夹角: 155.91 度, surface_angle: -16.33
角度: 31 度, 计算的夹角: 155.07 度, surface_angle: -17.05
角度: 32 度, 计算的夹角: 154.23 度, surface_angle: -17.78
角度: 33 度, 计算的夹角: 153.39 度, surface_angle: -18.50
角度: 34 度, 计算的夹角: 152.54 度, surface_angle: -19.23
角度: 35 度, 计算的夹角: 151.69 度, surface_angle: -19.96
角度: 36 度, 计算的夹角: 150.82 度, surface_angle: -20.70
角度: 37 度, 计算的夹角: 149.96 度, surface_angle: -21.44
角度: 38 度, 计算的夹角: 149.08 度, surface_angle: -22.18
角度: 39 度, 计算的夹角: 148.20 度, surface_angle: -22.93
角度: 40 度, 计算的夹角: 147.31 度, surface_angle: -23.68
角度: 41 度, 计算的夹角: 146.42 度, surface_angle: -24.43
角度: 42 度, 计算的夹角: 145.52 度, surface_angle: -25.19
角度: 43 度, 计算的夹角: 144.61 度, surface_angle: -25.96
角度: 44 度, 计算的夹角: 143.69 度, surface_angle: -26.72
角度: 45 度, 计算的夹角: 142.76 度, surface_angle: -27.49
角度: 46 度, 计算的夹角: 141.83 度, surface_angle: -28.27
角度: 47 度, 计算的夹角: 140.89 度, surface_angle: -29.05
角度: 48 度, 计算的夹角: 139.94 度, surface_angle: -29.83
角度: 49 度, 计算的夹角: 138.97 度, surface_angle: -30.62
角度: 50 度, 计算的夹角: 138.00 度, surface_angle: -31.41
角度: 51 度, 计算的夹角: 137.02 度, surface_angle: -32.21
角度: 52 度, 计算的夹角: 136.04 度, surface_angle: -33.00
角度: 53 度, 计算的夹角: 135.04 度, surface_angle: -33.81
角度: 54 度, 计算的夹角: 134.03 度, surface_angle: -34.61
角度: 55 度, 计算的夹角: 133.01 度, surface_angle: -35.42
角度: 56 度, 计算的夹角: 131.98 度, surface_angle: -36.24
角度: 57 度, 计算的夹角: 130.93 度, surface_angle: -37.05
角度: 58 度, 计算的夹角: 129.88 度, surface_angle: -37.87
角度: 59 度, 计算的夹角: 128.82 度, surface_angle: -38.69
角度: 60 度, 计算的夹角: 127.74 度, surface_angle: -39.51
