读取的文件: .\IrO6_reordered.vasp
角度: 0 度, 计算的夹角: 171.85 度
角度: 1 度, 计算的夹角: 172.64 度
角度: 2 度, 计算的夹角: 173.42 度
角度: 3 度, 计算的夹角: 174.20 度
角度: 4 度, 计算的夹角: 174.98 度
角度: 5 度, 计算的夹角: 175.75 度
角度: 6 度, 计算的夹角: 176.53 度
角度: 7 度, 计算的夹角: 177.30 度
角度: 8 度, 计算的夹角: 178.07 度
角度: 9 度, 计算的夹角: 178.83 度
角度: 10 度, 计算的夹角: 179.49 度
角度: 11 度, 计算的夹角: 179.41 度
角度: 12 度, 计算的夹角: 178.71 度
角度: 13 度, 计算的夹角: 177.95 度
角度: 14 度, 计算的夹角: 177.18 度
角度: 15 度, 计算的夹角: 176.40 度
角度: 16 度, 计算的夹角: 175.61 度
角度: 17 度, 计算的夹角: 174.83 度
角度: 18 度, 计算的夹角: 174.04 度
角度: 19 度, 计算的夹角: 173.25 度
角度: 20 度, 计算的夹角: 172.46 度
角度: 21 度, 计算的夹角: 171.66 度
角度: 22 度, 计算的夹角: 170.86 度
角度: 23 度, 计算的夹角: 170.06 度
角度: 24 度, 计算的夹角: 169.26 度
角度: 25 度, 计算的夹角: 168.45 度
角度: 26 度, 计算的夹角: 167.64 度
角度: 27 度, 计算的夹角: 166.82 度
角度: 28 度, 计算的夹角: 166.00 度
角度: 29 度, 计算的夹角: 165.18 度
角度: 30 度, 计算的夹角: 164.35 度
角度: 31 度, 计算的夹角: 163.52 度
角度: 32 度, 计算的夹角: 162.68 度
角度: 33 度, 计算的夹角: 161.84 度
角度: 34 度, 计算的夹角: 160.99 度
角度: 35 度, 计算的夹角: 160.14 度
角度: 36 度, 计算的夹角: 159.28 度
角度: 37 度, 计算的夹角: 158.41 度
角度: 38 度, 计算的夹角: 157.54 度
角度: 39 度, 计算的夹角: 156.66 度
角度: 40 度, 计算的夹角: 155.77 度
角度: 41 度, 计算的夹角: 154.88 度
角度: 42 度, 计算的夹角: 153.98 度
角度: 43 度, 计算的夹角: 153.07 度
角度: 44 度, 计算的夹角: 152.16 度
角度: 45 度, 计算的夹角: 151.24 度
角度: 46 度, 计算的夹角: 150.31 度
角度: 47 度, 计算的夹角: 149.37 度
角度: 48 度, 计算的夹角: 148.42 度
角度: 49 度, 计算的夹角: 147.46 度
角度: 50 度, 计算的夹角: 146.49 度
角度: 51 度, 计算的夹角: 145.52 度
角度: 52 度, 计算的夹角: 144.53 度
角度: 53 度, 计算的夹角: 143.54 度
角度: 54 度, 计算的夹角: 142.53 度
角度: 55 度, 计算的夹角: 141.51 度
角度: 56 度, 计算的夹角: 140.49 度
角度: 57 度, 计算的夹角: 139.45 度
角度: 58 度, 计算的夹角: 138.40 度
角度: 59 度, 计算的夹角: 137.34 度
角度: 60 度, 计算的夹角: 136.27 度
