读取的文件: .\IrO6_reordered.vasp
角度: 0 度, 计算的夹角: 177.28 度, surface_angle: 94.99
角度: 1 度, 计算的夹角: 178.05 度, surface_angle: 94.29
角度: 2 度, 计算的夹角: 178.81 度, surface_angle: 93.60
角度: 3 度, 计算的夹角: 179.50 度, surface_angle: 92.91
角度: 4 度, 计算的夹角: 179.44 度, surface_angle: 92.22
角度: 5 度, 计算的夹角: 178.74 度, surface_angle: 91.53
角度: 6 度, 计算的夹角: 177.98 度, surface_angle: 90.84
角度: 7 度, 计算的夹角: 177.21 度, surface_angle: 90.16
角度: 8 度, 计算的夹角: 176.43 度, surface_angle: 89.47
角度: 9 度, 计算的夹角: 175.66 度, surface_angle: 88.78
角度: 10 度, 计算的夹角: 174.88 度, surface_angle: 88.10
角度: 11 度, 计算的夹角: 174.10 度, surface_angle: 87.41
角度: 12 度, 计算的夹角: 173.32 度, surface_angle: 86.72
角度: 13 度, 计算的夹角: 172.54 度, surface_angle: 86.03
角度: 14 度, 计算的夹角: 171.76 度, surface_angle: 85.35
角度: 15 度, 计算的夹角: 170.97 度, surface_angle: 84.66
角度: 16 度, 计算的夹角: 170.19 度, surface_angle: 83.97
角度: 17 度, 计算的夹角: 169.40 度, surface_angle: 83.28
角度: 18 度, 计算的夹角: 168.61 度, surface_angle: 82.59
角度: 19 度, 计算的夹角: 167.82 度, surface_angle: 81.90
角度: 20 度, 计算的夹角: 167.03 度, surface_angle: 81.20
角度: 21 度, 计算的夹角: 166.23 度, surface_angle: 80.51
角度: 22 度, 计算的夹角: 165.43 度, surface_angle: 79.81
角度: 23 度, 计算的夹角: 164.63 度, surface_angle: 79.11
角度: 24 度, 计算的夹角: 163.82 度, surface_angle: 78.41
角度: 25 度, 计算的夹角: 163.01 度, surface_angle: 77.71
角度: 26 度, 计算的夹角: 162.20 度, surface_angle: 77.01
角度: 27 度, 计算的夹角: 161.39 度, surface_angle: 76.30
角度: 28 度, 计算的夹角: 160.57 度, surface_angle: 75.59
角度: 29 度, 计算的夹角: 159.74 度, surface_angle: 74.88
角度: 30 度, 计算的夹角: 158.92 度, surface_angle: 74.17
角度: 31 度, 计算的夹角: 158.08 度, surface_angle: 73.45
角度: 32 度, 计算的夹角: 157.24 度, surface_angle: 72.74
角度: 33 度, 计算的夹角: 156.40 度, surface_angle: 72.01
角度: 34 度, 计算的夹角: 155.55 度, surface_angle: 71.29
角度: 35 度, 计算的夹角: 154.70 度, surface_angle: 70.56
角度: 36 度, 计算的夹角: 153.84 度, surface_angle: 69.83
角度: 37 度, 计算的夹角: 152.97 度, surface_angle: 69.09
角度: 38 度, 计算的夹角: 152.10 度, surface_angle: 68.36
角度: 39 度, 计算的夹角: 151.22 度, surface_angle: 67.61
角度: 40 度, 计算的夹角: 150.34 度, surface_angle: 66.87
角度: 41 度, 计算的夹角: 149.45 度, surface_angle: 66.12
角度: 42 度, 计算的夹角: 148.55 度, surface_angle: 65.37
角度: 43 度, 计算的夹角: 147.64 度, surface_angle: 64.61
角度: 44 度, 计算的夹角: 146.72 度, surface_angle: 63.85
角度: 45 度, 计算的夹角: 145.80 度, surface_angle: 63.08
角度: 46 度, 计算的夹角: 144.87 度, surface_angle: 62.31
角度: 47 度, 计算的夹角: 143.93 度, surface_angle: 61.54
角度: 48 度, 计算的夹角: 142.98 度, surface_angle: 60.76
角度: 49 度, 计算的夹角: 142.02 度, surface_angle: 59.98
角度: 50 度, 计算的夹角: 141.06 度, surface_angle: 59.20
角度: 51 度, 计算的夹角: 140.08 度, surface_angle: 58.41
角度: 52 度, 计算的夹角: 139.10 度, surface_angle: 57.62
角度: 53 度, 计算的夹角: 138.10 度, surface_angle: 56.83
角度: 54 度, 计算的夹角: 137.09 度, surface_angle: 56.03
角度: 55 度, 计算的夹角: 136.08 度, surface_angle: 55.23
角度: 56 度, 计算的夹角: 135.05 度, surface_angle: 54.42
角度: 57 度, 计算的夹角: 134.01 度, surface_angle: 53.61
角度: 58 度, 计算的夹角: 132.97 度, surface_angle: 52.80
角度: 59 度, 计算的夹角: 131.91 度, surface_angle: 51.99
角度: 60 度, 计算的夹角: 130.84 度, surface_angle: 51.18
