角度: 0 度, 计算的夹角:, 166.48 度, surface_angle:, 89.74
角度: 1 度, 计算的夹角:, 167.44 度, surface_angle:, 88.80
角度: 2 度, 计算的夹角:, 168.40 度, surface_angle:, 87.84
角度: 3 度, 计算的夹角:, 169.36 度, surface_angle:, 86.89
角度: 4 度, 计算的夹角:, 170.31 度, surface_angle:, 85.93
角度: 5 度, 计算的夹角:, 171.27 度, surface_angle:, 84.98
角度: 6 度, 计算的夹角:, 172.21 度, surface_angle:, 84.03
角度: 7 度, 计算的夹角:, 173.16 度, surface_angle:, 83.09
角度: 8 度, 计算的夹角:, 174.09 度, surface_angle:, 82.15
角度: 9 度, 计算的夹角:, 175.02 度, surface_angle:, 81.22
角度: 10 度, 计算的夹角:, 175.95 度, surface_angle:, 80.29
角度: 11 度, 计算的夹角:, 176.86 度, surface_angle:, 79.38
角度: 12 度, 计算的夹角:, 177.77 度, surface_angle:, 78.47
角度: 13 度, 计算的夹角:, 178.66 度, surface_angle:, 77.57
角度: 14 度, 计算的夹角:, 179.53 度, surface_angle:, 76.68
角度: 15 度, 计算的夹角:, 179.52 度, surface_angle:, 75.80
角度: 16 度, 计算的夹角:, 178.68 度, surface_angle:, 74.93
角度: 17 度, 计算的夹角:, 177.82 度, surface_angle:, 74.08
角度: 18 度, 计算的夹角:, 176.98 度, surface_angle:, 73.23
角度: 19 度, 计算的夹角:, 176.15 度, surface_angle:, 72.40
角度: 20 度, 计算的夹角:, 175.33 度, surface_angle:, 71.58
角度: 21 度, 计算的夹角:, 174.52 度, surface_angle:, 70.77
角度: 22 度, 计算的夹角:, 173.73 度, surface_angle:, 69.98
角度: 23 度, 计算的夹角:, 172.95 度, surface_angle:, 69.20
角度: 24 度, 计算的夹角:, 172.18 度, surface_angle:, 68.43
角度: 25 度, 计算的夹角:, 171.43 度, surface_angle:, 67.68
角度: 26 度, 计算的夹角:, 170.69 度, surface_angle:, 66.94
角度: 27 度, 计算的夹角:, 169.96 度, surface_angle:, 66.21
角度: 28 度, 计算的夹角:, 169.25 度, surface_angle:, 65.50
角度: 29 度, 计算的夹角:, 168.56 度, surface_angle:, 64.80
角度: 30 度, 计算的夹角:, 167.87 度, surface_angle:, 64.12
角度: 31 度, 计算的夹角:, 167.21 度, surface_angle:, 63.45
角度: 32 度, 计算的夹角:, 166.55 度, surface_angle:, 62.80
角度: 33 度, 计算的夹角:, 165.91 度, surface_angle:, 62.16
角度: 34 度, 计算的夹角:, 165.29 度, surface_angle:, 61.54
角度: 35 度, 计算的夹角:, 164.68 度, surface_angle:, 60.93
角度: 36 度, 计算的夹角:, 164.09 度, surface_angle:, 60.33
角度: 37 度, 计算的夹角:, 163.50 度, surface_angle:, 59.75
角度: 38 度, 计算的夹角:, 162.94 度, surface_angle:, 59.18
角度: 39 度, 计算的夹角:, 162.39 度, surface_angle:, 58.63
角度: 40 度, 计算的夹角:, 161.85 度, surface_angle:, 58.09
角度: 41 度, 计算的夹角:, 161.32 度, surface_angle:, 57.57
角度: 42 度, 计算的夹角:, 160.81 度, surface_angle:, 57.06
角度: 43 度, 计算的夹角:, 160.31 度, surface_angle:, 56.56
角度: 44 度, 计算的夹角:, 159.83 度, surface_angle:, 56.08
角度: 45 度, 计算的夹角:, 159.36 度, surface_angle:, 55.61
角度: 46 度, 计算的夹角:, 158.90 度, surface_angle:, 55.15
角度: 47 度, 计算的夹角:, 158.46 度, surface_angle:, 54.71
角度: 48 度, 计算的夹角:, 158.03 度, surface_angle:, 54.28
角度: 49 度, 计算的夹角:, 157.61 度, surface_angle:, 53.86
角度: 50 度, 计算的夹角:, 157.21 度, surface_angle:, 53.45
角度: 51 度, 计算的夹角:, 156.81 度, surface_angle:, 53.06
角度: 52 度, 计算的夹角:, 156.43 度, surface_angle:, 52.68
角度: 53 度, 计算的夹角:, 156.06 度, surface_angle:, 52.31
角度: 54 度, 计算的夹角:, 155.71 度, surface_angle:, 51.95
角度: 55 度, 计算的夹角:, 155.36 度, surface_angle:, 51.61
角度: 56 度, 计算的夹角:, 155.03 度, surface_angle:, 51.28
角度: 57 度, 计算的夹角:, 154.71 度, surface_angle:, 50.95
角度: 58 度, 计算的夹角:, 154.40 度, surface_angle:, 50.64
角度: 59 度, 计算的夹角:, 154.10 度, surface_angle:, 50.35
角度: 60 度, 计算的夹角:, 153.81 度, surface_angle:, 50.06
