读取的文件: .\IrO6_reordered.vasp
角度: 0 度, 计算的夹角: 173.76 度, surface_angle: 89.73
角度: 1 度, 计算的夹角: 174.72 度, surface_angle: 88.78
角度: 2 度, 计算的夹角: 175.68 度, surface_angle: 87.82
角度: 3 度, 计算的夹角: 176.64 度, surface_angle: 86.86
角度: 4 度, 计算的夹角: 177.59 度, surface_angle: 85.91
角度: 5 度, 计算的夹角: 178.54 度, surface_angle: 84.96
角度: 6 度, 计算的夹角: 179.46 度, surface_angle: 84.01
角度: 7 度, 计算的夹角: 179.51 度, surface_angle: 83.06
角度: 8 度, 计算的夹角: 178.60 度, surface_angle: 82.13
角度: 9 度, 计算的夹角: 177.67 度, surface_angle: 81.19
角度: 10 度, 计算的夹角: 176.75 度, surface_angle: 80.27
角度: 11 度, 计算的夹角: 175.84 度, surface_angle: 79.35
角度: 12 度, 计算的夹角: 174.93 度, surface_angle: 78.45
角度: 13 度, 计算的夹角: 174.03 度, surface_angle: 77.55
角度: 14 度, 计算的夹角: 173.14 度, surface_angle: 76.66
角度: 15 度, 计算的夹角: 172.27 度, surface_angle: 75.78
角度: 16 度, 计算的夹角: 171.40 度, surface_angle: 74.91
角度: 17 度, 计算的夹角: 170.54 度, surface_angle: 74.06
角度: 18 度, 计算的夹角: 169.70 度, surface_angle: 73.21
角度: 19 度, 计算的夹角: 168.86 度, surface_angle: 72.38
角度: 20 度, 计算的夹角: 168.04 度, surface_angle: 71.56
角度: 21 度, 计算的夹角: 167.24 度, surface_angle: 70.75
角度: 22 度, 计算的夹角: 166.44 度, surface_angle: 69.95
角度: 23 度, 计算的夹角: 165.66 度, surface_angle: 69.17
角度: 24 度, 计算的夹角: 164.89 度, surface_angle: 68.41
角度: 25 度, 计算的夹角: 164.14 度, surface_angle: 67.65
角度: 26 度, 计算的夹角: 163.40 度, surface_angle: 66.91
角度: 27 度, 计算的夹角: 162.68 度, surface_angle: 66.19
角度: 28 度, 计算的夹角: 161.96 度, surface_angle: 65.48
角度: 29 度, 计算的夹角: 161.27 度, surface_angle: 64.78
角度: 30 度, 计算的夹角: 160.59 度, surface_angle: 64.10
角度: 31 度, 计算的夹角: 159.92 度, surface_angle: 63.43
角度: 32 度, 计算的夹角: 159.27 度, surface_angle: 62.78
角度: 33 度, 计算的夹角: 158.63 度, surface_angle: 62.14
角度: 34 度, 计算的夹角: 158.00 度, surface_angle: 61.52
角度: 35 度, 计算的夹角: 157.39 度, surface_angle: 60.91
角度: 36 度, 计算的夹角: 156.80 度, surface_angle: 60.31
角度: 37 度, 计算的夹角: 156.22 度, surface_angle: 59.73
角度: 38 度, 计算的夹角: 155.65 度, surface_angle: 59.16
角度: 39 度, 计算的夹角: 155.10 度, surface_angle: 58.61
角度: 40 度, 计算的夹角: 154.56 度, surface_angle: 58.07
角度: 41 度, 计算的夹角: 154.04 度, surface_angle: 57.55
角度: 42 度, 计算的夹角: 153.53 度, surface_angle: 57.04
角度: 43 度, 计算的夹角: 153.03 度, surface_angle: 56.54
角度: 44 度, 计算的夹角: 152.54 度, surface_angle: 56.06
角度: 45 度, 计算的夹角: 152.07 度, surface_angle: 55.59
角度: 46 度, 计算的夹角: 151.62 度, surface_angle: 55.13
角度: 47 度, 计算的夹角: 151.17 度, surface_angle: 54.69
角度: 48 度, 计算的夹角: 150.74 度, surface_angle: 54.26
角度: 49 度, 计算的夹角: 150.33 度, surface_angle: 53.84
角度: 50 度, 计算的夹角: 149.92 度, surface_angle: 53.43
角度: 51 度, 计算的夹角: 149.53 度, surface_angle: 53.04
角度: 52 度, 计算的夹角: 149.15 度, surface_angle: 52.66
角度: 53 度, 计算的夹角: 148.78 度, surface_angle: 52.29
角度: 54 度, 计算的夹角: 148.42 度, surface_angle: 51.93
角度: 55 度, 计算的夹角: 148.08 度, surface_angle: 51.59
角度: 56 度, 计算的夹角: 147.74 度, surface_angle: 51.26
角度: 57 度, 计算的夹角: 147.42 度, surface_angle: 50.94
角度: 58 度, 计算的夹角: 147.11 度, surface_angle: 50.63
角度: 59 度, 计算的夹角: 146.81 度, surface_angle: 50.33
角度: 60 度, 计算的夹角: 146.53 度, surface_angle: 50.04
