读取的文件: .\IrO6.vasp
角度: 0 度, 计算的夹角: 179.50 度, surface_angle: -13.17
角度: 1 度, 计算的夹角: 179.44 度, surface_angle: -13.21
角度: 2 度, 计算的夹角: 179.37 度, surface_angle: -13.25
角度: 3 度, 计算的夹角: 179.30 度, surface_angle: -13.30
角度: 4 度, 计算的夹角: 179.23 度, surface_angle: -13.35
角度: 5 度, 计算的夹角: 179.15 度, surface_angle: -13.41
角度: 6 度, 计算的夹角: 179.07 度, surface_angle: -13.46
角度: 7 度, 计算的夹角: 178.99 度, surface_angle: -13.53
角度: 8 度, 计算的夹角: 178.91 度, surface_angle: -13.59
角度: 9 度, 计算的夹角: 178.82 度, surface_angle: -13.67
角度: 10 度, 计算的夹角: 178.73 度, surface_angle: -13.74
角度: 11 度, 计算的夹角: 178.64 度, surface_angle: -13.82
角度: 12 度, 计算的夹角: 178.54 度, surface_angle: -13.90
角度: 13 度, 计算的夹角: 178.44 度, surface_angle: -13.99
角度: 14 度, 计算的夹角: 178.33 度, surface_angle: -14.09
角度: 15 度, 计算的夹角: 178.22 度, surface_angle: -14.19
角度: 16 度, 计算的夹角: 178.11 度, surface_angle: -14.29
角度: 17 度, 计算的夹角: 177.99 度, surface_angle: -14.40
角度: 18 度, 计算的夹角: 177.87 度, surface_angle: -14.51
角度: 19 度, 计算的夹角: 177.74 度, surface_angle: -14.63
角度: 20 度, 计算的夹角: 177.61 度, surface_angle: -14.75
角度: 21 度, 计算的夹角: 177.47 度, surface_angle: -14.88
角度: 22 度, 计算的夹角: 177.32 度, surface_angle: -15.02
角度: 23 度, 计算的夹角: 177.18 度, surface_angle: -15.16
角度: 24 度, 计算的夹角: 177.02 度, surface_angle: -15.30
角度: 25 度, 计算的夹角: 176.86 度, surface_angle: -15.46
角度: 26 度, 计算的夹角: 176.69 度, surface_angle: -15.62
角度: 27 度, 计算的夹角: 176.52 度, surface_angle: -15.78
角度: 28 度, 计算的夹角: 176.34 度, surface_angle: -15.96
角度: 29 度, 计算的夹角: 176.15 度, surface_angle: -16.14
角度: 30 度, 计算的夹角: 175.95 度, surface_angle: -16.33
角度: 31 度, 计算的夹角: 175.75 度, surface_angle: -16.52
角度: 32 度, 计算的夹角: 175.53 度, surface_angle: -16.73
角度: 33 度, 计算的夹角: 175.31 度, surface_angle: -16.94
角度: 34 度, 计算的夹角: 175.08 度, surface_angle: -17.16
角度: 35 度, 计算的夹角: 174.84 度, surface_angle: -17.39
角度: 36 度, 计算的夹角: 174.60 度, surface_angle: -17.64
角度: 37 度, 计算的夹角: 174.34 度, surface_angle: -17.89
角度: 38 度, 计算的夹角: 174.07 度, surface_angle: -18.15
角度: 39 度, 计算的夹角: 173.78 度, surface_angle: -18.42
角度: 40 度, 计算的夹角: 173.49 度, surface_angle: -18.71
角度: 41 度, 计算的夹角: 173.18 度, surface_angle: -19.01
角度: 42 度, 计算的夹角: 172.86 度, surface_angle: -19.32
角度: 43 度, 计算的夹角: 172.53 度, surface_angle: -19.64
角度: 44 度, 计算的夹角: 172.18 度, surface_angle: -19.98
角度: 45 度, 计算的夹角: 171.82 度, surface_angle: -20.34
角度: 46 度, 计算的夹角: 171.44 度, surface_angle: -20.71
角度: 47 度, 计算的夹角: 171.04 度, surface_angle: -21.09
角度: 48 度, 计算的夹角: 170.62 度, surface_angle: -21.50
角度: 49 度, 计算的夹角: 170.19 度, surface_angle: -21.92
角度: 50 度, 计算的夹角: 169.73 度, surface_angle: -22.37
角度: 51 度, 计算的夹角: 169.25 度, surface_angle: -22.84
角度: 52 度, 计算的夹角: 168.75 度, surface_angle: -23.33
角度: 53 度, 计算的夹角: 168.22 度, surface_angle: -23.84
角度: 54 度, 计算的夹角: 167.67 度, surface_angle: -24.38
角度: 55 度, 计算的夹角: 167.09 度, surface_angle: -24.95
角度: 56 度, 计算的夹角: 166.48 度, surface_angle: -25.54
角度: 57 度, 计算的夹角: 165.83 度, surface_angle: -26.17
角度: 58 度, 计算的夹角: 165.15 度, surface_angle: -26.83
角度: 59 度, 计算的夹角: 164.43 度, surface_angle: -27.53
角度: 60 度, 计算的夹角: 163.68 度, surface_angle: -28.27
