读取的文件: .\IrO6_reordered.vasp
角度: 0 度, 计算的夹角:, 179.37, 度, surface_angle:, -12.93
角度: 1 度, 计算的夹角:, 179.43, 度, surface_angle:, -12.97
角度: 2 度, 计算的夹角:, 179.50, 度, surface_angle:, -13.02
角度: 3 度, 计算的夹角:, 179.57, 度, surface_angle:, -13.08
角度: 4 度, 计算的夹角:, 179.64, 度, surface_angle:, -13.14
角度: 5 度, 计算的夹角:, 179.70, 度, surface_angle:, -13.20
角度: 6 度, 计算的夹角:, 179.76, 度, surface_angle:, -13.27
角度: 7 度, 计算的夹角:, 179.79, 度, surface_angle:, -13.34
角度: 8 度, 计算的夹角:, 179.79, 度, surface_angle:, -13.41
角度: 9 度, 计算的夹角:, 179.75, 度, surface_angle:, -13.49
角度: 10 度, 计算的夹角:, 179.68, 度, surface_angle:, -13.57
角度: 11 度, 计算的夹角:, 179.60, 度, surface_angle:, -13.66
角度: 12 度, 计算的夹角:, 179.50, 度, surface_angle:, -13.75
角度: 13 度, 计算的夹角:, 179.40, 度, surface_angle:, -13.85
角度: 14 度, 计算的夹角:, 179.29, 度, surface_angle:, -13.95
角度: 15 度, 计算的夹角:, 179.17, 度, surface_angle:, -14.05
角度: 16 度, 计算的夹角:, 179.05, 度, surface_angle:, -14.16
角度: 17 度, 计算的夹角:, 178.93, 度, surface_angle:, -14.28
角度: 18 度, 计算的夹角:, 178.80, 度, surface_angle:, -14.40
角度: 19 度, 计算的夹角:, 178.66, 度, surface_angle:, -14.52
角度: 20 度, 计算的夹角:, 178.52, 度, surface_angle:, -14.65
角度: 21 度, 计算的夹角:, 178.37, 度, surface_angle:, -14.79
角度: 22 度, 计算的夹角:, 178.22, 度, surface_angle:, -14.93
角度: 23 度, 计算的夹角:, 178.06, 度, surface_angle:, -15.08
角度: 24 度, 计算的夹角:, 177.89, 度, surface_angle:, -15.23
角度: 25 度, 计算的夹角:, 177.72, 度, surface_angle:, -15.39
角度: 26 度, 计算的夹角:, 177.54, 度, surface_angle:, -15.56
角度: 27 度, 计算的夹角:, 177.36, 度, surface_angle:, -15.74
角度: 28 度, 计算的夹角:, 177.17, 度, surface_angle:, -15.92
角度: 29 度, 计算的夹角:, 176.97, 度, surface_angle:, -16.11
角度: 30 度, 计算的夹角:, 176.76, 度, surface_angle:, -16.30
角度: 31 度, 计算的夹角:, 176.55, 度, surface_angle:, -16.51
角度: 32 度, 计算的夹角:, 176.33, 度, surface_angle:, -16.72
角度: 33 度, 计算的夹角:, 176.09, 度, surface_angle:, -16.94
角度: 34 度, 计算的夹角:, 175.85, 度, surface_angle:, -17.17
角度: 35 度, 计算的夹角:, 175.60, 度, surface_angle:, -17.41
角度: 36 度, 计算的夹角:, 175.34, 度, surface_angle:, -17.66
角度: 37 度, 计算的夹角:, 175.07, 度, surface_angle:, -17.92
角度: 38 度, 计算的夹角:, 174.79, 度, surface_angle:, -18.19
角度: 39 度, 计算的夹角:, 174.50, 度, surface_angle:, -18.47
角度: 40 度, 计算的夹角:, 174.20, 度, surface_angle:, -18.76
角度: 41 度, 计算的夹角:, 173.88, 度, surface_angle:, -19.07
角度: 42 度, 计算的夹角:, 173.55, 度, surface_angle:, -19.39
角度: 43 度, 计算的夹角:, 173.20, 度, surface_angle:, -19.72
角度: 44 度, 计算的夹角:, 172.84, 度, surface_angle:, -20.07
角度: 45 度, 计算的夹角:, 172.47, 度, surface_angle:, -20.44
角度: 46 度, 计算的夹角:, 172.08, 度, surface_angle:, -20.82
角度: 47 度, 计算的夹角:, 171.67, 度, surface_angle:, -21.21
角度: 48 度, 计算的夹角:, 171.24, 度, surface_angle:, -21.63
角度: 49 度, 计算的夹角:, 170.79, 度, surface_angle:, -22.07
角度: 50 度, 计算的夹角:, 170.32, 度, surface_angle:, -22.52
角度: 51 度, 计算的夹角:, 169.83, 度, surface_angle:, -23.00
角度: 52 度, 计算的夹角:, 169.32, 度, surface_angle:, -23.50
角度: 53 度, 计算的夹角:, 168.78, 度, surface_angle:, -24.02
角度: 54 度, 计算的夹角:, 168.21, 度, surface_angle:, -24.58
角度: 55 度, 计算的夹角:, 167.61, 度, surface_angle:, -25.16
角度: 56 度, 计算的夹角:, 166.99, 度, surface_angle:, -25.77
角度: 57 度, 计算的夹角:, 166.33, 度, surface_angle:, -26.41
角度: 58 度, 计算的夹角:, 165.64, 度, surface_angle:, -27.08
角度: 59 度, 计算的夹角:, 164.91, 度, surface_angle:, -27.79
角度: 60 度, 计算的夹角:, 164.13, 度, surface_angle:, -28.55
