角度: 0 度, 夹角: , 179.15, 表面角度:, 77.07
角度: 1 度, 夹角: , 179.22, 表面角度:, 77.03
角度: 2 度, 夹角: , 179.29, 表面角度:, 76.98
角度: 3 度, 夹角: , 179.36, 表面角度:, 76.92
角度: 4 度, 夹角: , 179.43, 表面角度:, 76.86
角度: 5 度, 夹角: , 179.50, 表面角度:, 76.80
角度: 6 度, 夹角: , 179.57, 表面角度:, 76.73
角度: 7 度, 夹角: , 179.64, 表面角度:, 76.66
角度: 8 度, 夹角: , 179.69, 表面角度:, 76.59
角度: 9 度, 夹角: , 179.73, 表面角度:, 76.51
角度: 10 度, 夹角: , 179.74, 表面角度:, 76.43
角度: 11 度, 夹角: , 179.71, 表面角度:, 76.34
角度: 12 度, 夹角: , 179.64, 表面角度:, 76.25
角度: 13 度, 夹角: , 179.56, 表面角度:, 76.15
角度: 14 度, 夹角: , 179.46, 表面角度:, 76.05
角度: 15 度, 夹角: , 179.35, 表面角度:, 75.95
角度: 16 度, 夹角: , 179.24, 表面角度:, 75.84
角度: 17 度, 夹角: , 179.11, 表面角度:, 75.72
角度: 18 度, 夹角: , 178.99, 表面角度:, 75.60
角度: 19 度, 夹角: , 178.85, 表面角度:, 75.48
角度: 20 度, 夹角: , 178.71, 表面角度:, 75.35
角度: 21 度, 夹角: , 178.56, 表面角度:, 75.21
角度: 22 度, 夹角: , 178.41, 表面角度:, 75.07
角度: 23 度, 夹角: , 178.25, 表面角度:, 74.92
角度: 24 度, 夹角: , 178.09, 表面角度:, 74.77
角度: 25 度, 夹角: , 177.92, 表面角度:, 74.61
角度: 26 度, 夹角: , 177.74, 表面角度:, 74.44
角度: 27 度, 夹角: , 177.56, 表面角度:, 74.26
角度: 28 度, 夹角: , 177.36, 表面角度:, 74.08
角度: 29 度, 夹角: , 177.17, 表面角度:, 73.89
角度: 30 度, 夹角: , 176.96, 表面角度:, 73.70
角度: 31 度, 夹角: , 176.74, 表面角度:, 73.49
角度: 32 度, 夹角: , 176.52, 表面角度:, 73.28
角度: 33 度, 夹角: , 176.29, 表面角度:, 73.06
角度: 34 度, 夹角: , 176.05, 表面角度:, 72.83
角度: 35 度, 夹角: , 175.80, 表面角度:, 72.59
角度: 36 度, 夹角: , 175.54, 表面角度:, 72.34
角度: 37 度, 夹角: , 175.27, 表面角度:, 72.08
角度: 38 度, 夹角: , 174.99, 表面角度:, 71.81
角度: 39 度, 夹角: , 174.69, 表面角度:, 71.53
角度: 40 度, 夹角: , 174.39, 表面角度:, 71.24
角度: 41 度, 夹角: , 174.07, 表面角度:, 70.93
角度: 42 度, 夹角: , 173.74, 表面角度:, 70.61
角度: 43 度, 夹角: , 173.40, 表面角度:, 70.28
角度: 44 度, 夹角: , 173.04, 表面角度:, 69.93
角度: 45 度, 夹角: , 172.66, 表面角度:, 69.56
角度: 46 度, 夹角: , 172.27, 表面角度:, 69.18
角度: 47 度, 夹角: , 171.86, 表面角度:, 68.79
角度: 48 度, 夹角: , 171.43, 表面角度:, 68.37
角度: 49 度, 夹角: , 170.98, 表面角度:, 67.93
角度: 50 度, 夹角: , 170.51, 表面角度:, 67.48
角度: 51 度, 夹角: , 170.02, 表面角度:, 67.00
角度: 52 度, 夹角: , 169.51, 表面角度:, 66.50
角度: 53 度, 夹角: , 168.97, 表面角度:, 65.98
角度: 54 度, 夹角: , 168.40, 表面角度:, 65.42
角度: 55 度, 夹角: , 167.80, 表面角度:, 64.84
角度: 56 度, 夹角: , 167.18, 表面角度:, 64.23
角度: 57 度, 夹角: , 166.52, 表面角度:, 63.59
角度: 58 度, 夹角: , 165.83, 表面角度:, 62.92
角度: 59 度, 夹角: , 165.09, 表面角度:, 62.21
角度: 60 度, 夹角: , 164.32, 表面角度:, 61.45
