角度: 0 度, 计算的夹角: ,179.50 ,度, surface_angle:, -18.35
角度: 1 度, 计算的夹角: ,179.51 ,度, surface_angle:, -18.38
角度: 2 度, 计算的夹角: ,179.52 ,度, surface_angle:, -18.43
角度: 3 度, 计算的夹角: ,179.51 ,度, surface_angle:, -18.47
角度: 4 度, 计算的夹角: ,179.49 ,度, surface_angle:, -18.52
角度: 5 度, 计算的夹角: ,179.47 ,度, surface_angle:, -18.58
角度: 6 度, 计算的夹角: ,179.42 ,度, surface_angle:, -18.64
角度: 7 度, 计算的夹角: ,179.37 ,度, surface_angle:, -18.71
角度: 8 度, 计算的夹角: ,179.31 ,度, surface_angle:, -18.78
角度: 9 度, 计算的夹角: ,179.24 ,度, surface_angle:, -18.86
角度: 10 度, 计算的夹角: ,179.16 ,度, surface_angle:, -18.94
角度: 11 度, 计算的夹角: ,179.07 ,度, surface_angle:, -19.03
角度: 12 度, 计算的夹角: ,178.98 ,度, surface_angle:, -19.13
角度: 13 度, 计算的夹角: ,178.88 ,度, surface_angle:, -19.23
角度: 14 度, 计算的夹角: ,178.77 ,度, surface_angle:, -19.33
角度: 15 度, 计算的夹角: ,178.65 ,度, surface_angle:, -19.45
角度: 16 度, 计算的夹角: ,178.53 ,度, surface_angle:, -19.57
角度: 17 度, 计算的夹角: ,178.40 ,度, surface_angle:, -19.69
角度: 18 度, 计算的夹角: ,178.26 ,度, surface_angle:, -19.83
角度: 19 度, 计算的夹角: ,178.12 ,度, surface_angle:, -19.97
角度: 20 度, 计算的夹角: ,177.96 ,度, surface_angle:, -20.11
角度: 21 度, 计算的夹角: ,177.81 ,度, surface_angle:, -20.27
角度: 22 度, 计算的夹角: ,177.64 ,度, surface_angle:, -20.43
角度: 23 度, 计算的夹角: ,177.47 ,度, surface_angle:, -20.60
角度: 24 度, 计算的夹角: ,177.29 ,度, surface_angle:, -20.77
角度: 25 度, 计算的夹角: ,177.10 ,度, surface_angle:, -20.96
角度: 26 度, 计算的夹角: ,176.90 ,度, surface_angle:, -21.15
角度: 27 度, 计算的夹角: ,176.69 ,度, surface_angle:, -21.35
角度: 28 度, 计算的夹角: ,176.48 ,度, surface_angle:, -21.56
角度: 29 度, 计算的夹角: ,176.25 ,度, surface_angle:, -21.78
角度: 30 度, 计算的夹角: ,176.02 ,度, surface_angle:, -22.01
角度: 31 度, 计算的夹角: ,175.78 ,度, surface_angle:, -22.25
角度: 32 度, 计算的夹角: ,175.52 ,度, surface_angle:, -22.50
角度: 33 度, 计算的夹角: ,175.26 ,度, surface_angle:, -22.75
角度: 34 度, 计算的夹角: ,174.98 ,度, surface_angle:, -23.02
角度: 35 度, 计算的夹角: ,174.70 ,度, surface_angle:, -23.31
角度: 36 度, 计算的夹角: ,174.40 ,度, surface_angle:, -23.60
角度: 37 度, 计算的夹角: ,174.09 ,度, surface_angle:, -23.91
角度: 38 度, 计算的夹角: ,173.77 ,度, surface_angle:, -24.22
角度: 39 度, 计算的夹角: ,173.43 ,度, surface_angle:, -24.56
角度: 40 度, 计算的夹角: ,173.08 ,度, surface_angle:, -24.90
角度: 41 度, 计算的夹角: ,172.71 ,度, surface_angle:, -25.26
角度: 42 度, 计算的夹角: ,172.33 ,度, surface_angle:, -25.64
角度: 43 度, 计算的夹角: ,171.93 ,度, surface_angle:, -26.03
角度: 44 度, 计算的夹角: ,171.52 ,度, surface_angle:, -26.44
角度: 45 度, 计算的夹角: ,171.08 ,度, surface_angle:, -26.87
角度: 46 度, 计算的夹角: ,170.63 ,度, surface_angle:, -27.32
角度: 47 度, 计算的夹角: ,170.16 ,度, surface_angle:, -27.78
角度: 48 度, 计算的夹角: ,169.67 ,度, surface_angle:, -28.27
角度: 49 度, 计算的夹角: ,169.15 ,度, surface_angle:, -28.78
角度: 50 度, 计算的夹角: ,168.61 ,度, surface_angle:, -29.31
角度: 51 度, 计算的夹角: ,168.05 ,度, surface_angle:, -29.87
角度: 52 度, 计算的夹角: ,167.47 ,度, surface_angle:, -30.45
角度: 53 度, 计算的夹角: ,166.85 ,度, surface_angle:, -31.06
角度: 54 度, 计算的夹角: ,166.21 ,度, surface_angle:, -31.69
角度: 55 度, 计算的夹角: ,165.54 ,度, surface_angle:, -32.36
角度: 56 度, 计算的夹角: ,164.83 ,度, surface_angle:, -33.05
角度: 57 度, 计算的夹角: ,164.09 ,度, surface_angle:, -33.78
角度: 58 度, 计算的夹角: ,163.32 ,度, surface_angle:, -34.55
角度: 59 度, 计算的夹角: ,162.51 ,度, surface_angle:, -35.35
角度: 60 度, 计算的夹角: ,161.66 ,度, surface_angle:, -36.20
