文件: IrO6_0.vasp, 夹角: , 179.50, 表面角度:, -89.76
文件: IrO6_1.vasp, 夹角: , 179.44, 表面角度:, -89.24
文件: IrO6_2.vasp, 夹角: , 178.51, 表面角度:, -88.29
文件: IrO6_3.vasp, 夹角: , 177.56, 表面角度:, -87.33
文件: IrO6_4.vasp, 夹角: , 176.60, 表面角度:, -86.38
文件: IrO6_5.vasp, 夹角: , 175.65, 表面角度:, -85.42
文件: IrO6_6.vasp, 夹角: , 174.71, 表面角度:, -84.48
文件: IrO6_7.vasp, 夹角: , 173.76, 表面角度:, -83.53
文件: IrO6_8.vasp, 夹角: , 172.83, 表面角度:, -82.60
文件: IrO6_9.vasp, 夹角: , 171.90, 表面角度:, -81.66
文件: IrO6_10.vasp, 夹角: , 170.97, 表面角度:, -80.74
文件: IrO6_11.vasp, 夹角: , 170.06, 表面角度:, -79.82
文件: IrO6_12.vasp, 夹角: , 169.15, 表面角度:, -78.92
文件: IrO6_13.vasp, 夹角: , 168.25, 表面角度:, -78.02
文件: IrO6_14.vasp, 夹角: , 167.36, 表面角度:, -77.13
文件: IrO6_15.vasp, 夹角: , 166.48, 表面角度:, -76.25
文件: IrO6_16.vasp, 夹角: , 165.61, 表面角度:, -75.38
文件: IrO6_17.vasp, 夹角: , 164.75, 表面角度:, -74.52
文件: IrO6_18.vasp, 夹角: , 163.91, 表面角度:, -73.67
文件: IrO6_19.vasp, 夹角: , 163.07, 表面角度:, -72.84
文件: IrO6_20.vasp, 夹角: , 162.25, 表面角度:, -72.02
文件: IrO6_21.vasp, 夹角: , 161.44, 表面角度:, -71.21
文件: IrO6_22.vasp, 夹角: , 160.65, 表面角度:, -70.41
文件: IrO6_23.vasp, 夹角: , 159.86, 表面角度:, -69.63
文件: IrO6_24.vasp, 夹角: , 159.09, 表面角度:, -68.86
文件: IrO6_25.vasp, 夹角: , 158.34, 表面角度:, -68.11
文件: IrO6_26.vasp, 夹角: , 157.60, 表面角度:, -67.36
文件: IrO6_27.vasp, 夹角: , 156.87, 表面角度:, -66.64
文件: IrO6_28.vasp, 夹角: , 156.16, 表面角度:, -65.92
文件: IrO6_29.vasp, 夹角: , 155.46, 表面角度:, -65.23
文件: IrO6_30.vasp, 夹角: , 154.77, 表面角度:, -64.54
文件: IrO6_31.vasp, 夹角: , 154.10, 表面角度:, -63.87
文件: IrO6_32.vasp, 夹角: , 153.45, 表面角度:, -63.22
文件: IrO6_33.vasp, 夹角: , 152.81, 表面角度:, -62.58
文件: IrO6_34.vasp, 夹角: , 152.18, 表面角度:, -61.95
文件: IrO6_35.vasp, 夹角: , 151.57, 表面角度:, -61.34
文件: IrO6_36.vasp, 夹角: , 150.97, 表面角度:, -60.74
文件: IrO6_37.vasp, 夹角: , 150.39, 表面角度:, -60.16
文件: IrO6_38.vasp, 夹角: , 149.82, 表面角度:, -59.59
文件: IrO6_39.vasp, 夹角: , 149.27, 表面角度:, -59.03
文件: IrO6_40.vasp, 夹角: , 148.72, 表面角度:, -58.49
文件: IrO6_41.vasp, 夹角: , 148.20, 表面角度:, -57.96
文件: IrO6_42.vasp, 夹角: , 147.68, 表面角度:, -57.45
文件: IrO6_43.vasp, 夹角: , 147.18, 表面角度:, -56.95
文件: IrO6_44.vasp, 夹角: , 146.70, 表面角度:, -56.47
文件: IrO6_45.vasp, 夹角: , 146.23, 表面角度:, -55.99
文件: IrO6_46.vasp, 夹角: , 145.77, 表面角度:, -55.53
文件: IrO6_47.vasp, 夹角: , 145.32, 表面角度:, -55.09
文件: IrO6_48.vasp, 夹角: , 144.89, 表面角度:, -54.65
文件: IrO6_49.vasp, 夹角: , 144.47, 表面角度:, -54.23
文件: IrO6_50.vasp, 夹角: , 144.06, 表面角度:, -53.82
文件: IrO6_51.vasp, 夹角: , 143.66, 表面角度:, -53.43
文件: IrO6_52.vasp, 夹角: , 143.28, 表面角度:, -53.05
文件: IrO6_53.vasp, 夹角: , 142.91, 表面角度:, -52.67
文件: IrO6_54.vasp, 夹角: , 142.55, 表面角度:, -52.32
文件: IrO6_55.vasp, 夹角: , 142.20, 表面角度:, -51.97
文件: IrO6_56.vasp, 夹角: , 141.87, 表面角度:, -51.63
文件: IrO6_57.vasp, 夹角: , 141.54, 表面角度:, -51.31
文件: IrO6_58.vasp, 夹角: , 141.23, 表面角度:, -51.00
文件: IrO6_59.vasp, 夹角: , 140.93, 表面角度:, -50.69
文件: IrO6_60.vasp, 夹角: , 140.64, 表面角度:, -50.40
