角度: 0 度, 计算的夹角: ,179.50 ,度, surface_angle:, -3.36
角度: 1 度, 计算的夹角: ,179.78 ,度, surface_angle:, -3.41
角度: 2 度, 计算的夹角: ,179.72 ,度, surface_angle:, -3.46
角度: 3 度, 计算的夹角: ,179.42 ,度, surface_angle:, -3.51
角度: 4 度, 计算的夹角: ,179.09 ,度, surface_angle:, -3.56
角度: 5 度, 计算的夹角: ,178.75 ,度, surface_angle:, -3.62
角度: 6 度, 计算的夹角: ,178.42 ,度, surface_angle:, -3.67
角度: 7 度, 计算的夹角: ,178.07 ,度, surface_angle:, -3.73
角度: 8 度, 计算的夹角: ,177.73 ,度, surface_angle:, -3.78
角度: 9 度, 计算的夹角: ,177.38 ,度, surface_angle:, -3.84
角度: 10 度, 计算的夹角: ,177.04 ,度, surface_angle:, -3.90
角度: 11 度, 计算的夹角: ,176.69 ,度, surface_angle:, -3.96
角度: 12 度, 计算的夹角: ,176.33 ,度, surface_angle:, -4.02
角度: 13 度, 计算的夹角: ,175.98 ,度, surface_angle:, -4.09
角度: 14 度, 计算的夹角: ,175.62 ,度, surface_angle:, -4.15
角度: 15 度, 计算的夹角: ,175.26 ,度, surface_angle:, -4.22
角度: 16 度, 计算的夹角: ,174.90 ,度, surface_angle:, -4.29
角度: 17 度, 计算的夹角: ,174.53 ,度, surface_angle:, -4.35
角度: 18 度, 计算的夹角: ,174.16 ,度, surface_angle:, -4.42
角度: 19 度, 计算的夹角: ,173.79 ,度, surface_angle:, -4.50
角度: 20 度, 计算的夹角: ,173.41 ,度, surface_angle:, -4.57
角度: 21 度, 计算的夹角: ,173.02 ,度, surface_angle:, -4.64
角度: 22 度, 计算的夹角: ,172.64 ,度, surface_angle:, -4.72
角度: 23 度, 计算的夹角: ,172.24 ,度, surface_angle:, -4.80
角度: 24 度, 计算的夹角: ,171.85 ,度, surface_angle:, -4.88
角度: 25 度, 计算的夹角: ,171.44 ,度, surface_angle:, -4.96
角度: 26 度, 计算的夹角: ,171.03 ,度, surface_angle:, -5.05
角度: 27 度, 计算的夹角: ,170.62 ,度, surface_angle:, -5.14
角度: 28 度, 计算的夹角: ,170.19 ,度, surface_angle:, -5.22
角度: 29 度, 计算的夹角: ,169.76 ,度, surface_angle:, -5.32
角度: 30 度, 计算的夹角: ,169.33 ,度, surface_angle:, -5.41
角度: 31 度, 计算的夹角: ,168.88 ,度, surface_angle:, -5.51
角度: 32 度, 计算的夹角: ,168.43 ,度, surface_angle:, -5.60
角度: 33 度, 计算的夹角: ,167.97 ,度, surface_angle:, -5.71
角度: 34 度, 计算的夹角: ,167.50 ,度, surface_angle:, -5.81
角度: 35 度, 计算的夹角: ,167.02 ,度, surface_angle:, -5.92
角度: 36 度, 计算的夹角: ,166.53 ,度, surface_angle:, -6.03
角度: 37 度, 计算的夹角: ,166.03 ,度, surface_angle:, -6.14
角度: 38 度, 计算的夹角: ,165.52 ,度, surface_angle:, -6.26
角度: 39 度, 计算的夹角: ,164.99 ,度, surface_angle:, -6.38
角度: 40 度, 计算的夹角: ,164.46 ,度, surface_angle:, -6.50
角度: 41 度, 计算的夹角: ,163.91 ,度, surface_angle:, -6.63
角度: 42 度, 计算的夹角: ,163.34 ,度, surface_angle:, -6.76
角度: 43 度, 计算的夹角: ,162.77 ,度, surface_angle:, -6.89
角度: 44 度, 计算的夹角: ,162.17 ,度, surface_angle:, -7.03
角度: 45 度, 计算的夹角: ,161.56 ,度, surface_angle:, -7.17
角度: 46 度, 计算的夹角: ,160.94 ,度, surface_angle:, -7.32
角度: 47 度, 计算的夹角: ,160.29 ,度, surface_angle:, -7.47
角度: 48 度, 计算的夹角: ,159.63 ,度, surface_angle:, -7.63
角度: 49 度, 计算的夹角: ,158.94 ,度, surface_angle:, -7.79
角度: 50 度, 计算的夹角: ,158.24 ,度, surface_angle:, -7.96
角度: 51 度, 计算的夹角: ,157.51 ,度, surface_angle:, -8.14
角度: 52 度, 计算的夹角: ,156.76 ,度, surface_angle:, -8.32
角度: 53 度, 计算的夹角: ,155.98 ,度, surface_angle:, -8.50
角度: 54 度, 计算的夹角: ,155.17 ,度, surface_angle:, -8.69
角度: 55 度, 计算的夹角: ,154.34 ,度, surface_angle:, -8.89
角度: 56 度, 计算的夹角: ,153.48 ,度, surface_angle:, -9.10
角度: 57 度, 计算的夹角: ,152.58 ,度, surface_angle:, -9.31
角度: 58 度, 计算的夹角: ,151.65 ,度, surface_angle:, -9.53
角度: 59 度, 计算的夹角: ,150.69 ,度, surface_angle:, -9.76
角度: 60 度, 计算的夹角: ,149.68 ,度, surface_angle:, -9.99
