角度: 0 度, 计算的夹角: ,179.65 ,度, surface_angle:, -6.34
角度: 1 度, 计算的夹角: ,179.80 ,度, surface_angle:, -6.40
角度: 2 度, 计算的夹角: ,179.89 ,度, surface_angle:, -6.46
角度: 3 度, 计算的夹角: ,179.78 ,度, surface_angle:, -6.52
角度: 4 度, 计算的夹角: ,179.62 ,度, surface_angle:, -6.58
角度: 5 度, 计算的夹角: ,179.45 ,度, surface_angle:, -6.64
角度: 6 度, 计算的夹角: ,179.28 ,度, surface_angle:, -6.71
角度: 7 度, 计算的夹角: ,179.10 ,度, surface_angle:, -6.77
角度: 8 度, 计算的夹角: ,178.93 ,度, surface_angle:, -6.84
角度: 9 度, 计算的夹角: ,178.75 ,度, surface_angle:, -6.92
角度: 10 度, 计算的夹角: ,178.56 ,度, surface_angle:, -6.99
角度: 11 度, 计算的夹角: ,178.38 ,度, surface_angle:, -7.07
角度: 12 度, 计算的夹角: ,178.19 ,度, surface_angle:, -7.15
角度: 13 度, 计算的夹角: ,178.00 ,度, surface_angle:, -7.23
角度: 14 度, 计算的夹角: ,177.81 ,度, surface_angle:, -7.31
角度: 15 度, 计算的夹角: ,177.62 ,度, surface_angle:, -7.40
角度: 16 度, 计算的夹角: ,177.42 ,度, surface_angle:, -7.49
角度: 17 度, 计算的夹角: ,177.22 ,度, surface_angle:, -7.58
角度: 18 度, 计算的夹角: ,177.02 ,度, surface_angle:, -7.67
角度: 19 度, 计算的夹角: ,176.82 ,度, surface_angle:, -7.77
角度: 20 度, 计算的夹角: ,176.61 ,度, surface_angle:, -7.87
角度: 21 度, 计算的夹角: ,176.40 ,度, surface_angle:, -7.98
角度: 22 度, 计算的夹角: ,176.18 ,度, surface_angle:, -8.08
角度: 23 度, 计算的夹角: ,175.96 ,度, surface_angle:, -8.20
角度: 24 度, 计算的夹角: ,175.74 ,度, surface_angle:, -8.31
角度: 25 度, 计算的夹角: ,175.51 ,度, surface_angle:, -8.43
角度: 26 度, 计算的夹角: ,175.28 ,度, surface_angle:, -8.55
角度: 27 度, 计算的夹角: ,175.04 ,度, surface_angle:, -8.68
角度: 28 度, 计算的夹角: ,174.80 ,度, surface_angle:, -8.81
角度: 29 度, 计算的夹角: ,174.55 ,度, surface_angle:, -8.94
角度: 30 度, 计算的夹角: ,174.30 ,度, surface_angle:, -9.08
角度: 31 度, 计算的夹角: ,174.04 ,度, surface_angle:, -9.22
角度: 32 度, 计算的夹角: ,173.78 ,度, surface_angle:, -9.37
角度: 33 度, 计算的夹角: ,173.50 ,度, surface_angle:, -9.52
角度: 34 度, 计算的夹角: ,173.22 ,度, surface_angle:, -9.68
角度: 35 度, 计算的夹角: ,172.94 ,度, surface_angle:, -9.85
角度: 36 度, 计算的夹角: ,172.64 ,度, surface_angle:, -10.02
角度: 37 度, 计算的夹角: ,172.34 ,度, surface_angle:, -10.20
角度: 38 度, 计算的夹角: ,172.03 ,度, surface_angle:, -10.38
角度: 39 度, 计算的夹角: ,171.71 ,度, surface_angle:, -10.57
角度: 40 度, 计算的夹角: ,171.38 ,度, surface_angle:, -10.77
角度: 41 度, 计算的夹角: ,171.03 ,度, surface_angle:, -10.97
角度: 42 度, 计算的夹角: ,170.68 ,度, surface_angle:, -11.19
角度: 43 度, 计算的夹角: ,170.32 ,度, surface_angle:, -11.41
角度: 44 度, 计算的夹角: ,169.94 ,度, surface_angle:, -11.64
角度: 45 度, 计算的夹角: ,169.55 ,度, surface_angle:, -11.88
角度: 46 度, 计算的夹角: ,169.15 ,度, surface_angle:, -12.13
角度: 47 度, 计算的夹角: ,168.73 ,度, surface_angle:, -12.39
角度: 48 度, 计算的夹角: ,168.29 ,度, surface_angle:, -12.66
角度: 49 度, 计算的夹角: ,167.84 ,度, surface_angle:, -12.95
角度: 50 度, 计算的夹角: ,167.37 ,度, surface_angle:, -13.24
角度: 51 度, 计算的夹角: ,166.88 ,度, surface_angle:, -13.55
角度: 52 度, 计算的夹角: ,166.37 ,度, surface_angle:, -13.88
角度: 53 度, 计算的夹角: ,165.83 ,度, surface_angle:, -14.22
角度: 54 度, 计算的夹角: ,165.28 ,度, surface_angle:, -14.57
角度: 55 度, 计算的夹角: ,164.69 ,度, surface_angle:, -14.95
角度: 56 度, 计算的夹角: ,164.08 ,度, surface_angle:, -15.34
角度: 57 度, 计算的夹角: ,163.44 ,度, surface_angle:, -15.75
角度: 58 度, 计算的夹角: ,162.77 ,度, surface_angle:, -16.18
角度: 59 度, 计算的夹角: ,162.06 ,度, surface_angle:, -16.64
角度: 60 度, 计算的夹角: ,161.31 ,度, surface_angle:, -17.12
