角度: 0 度, 计算的夹角: ,179.65 ,度, surface_angle:, -12.41
角度: 1 度, 计算的夹角: ,179.20 ,度, surface_angle:, -12.48
角度: 2 度, 计算的夹角: ,178.72 ,度, surface_angle:, -12.55
角度: 3 度, 计算的夹角: ,178.25 ,度, surface_angle:, -12.63
角度: 4 度, 计算的夹角: ,177.77 ,度, surface_angle:, -12.70
角度: 5 度, 计算的夹角: ,177.29 ,度, surface_angle:, -12.78
角度: 6 度, 计算的夹角: ,176.81 ,度, surface_angle:, -12.86
角度: 7 度, 计算的夹角: ,176.32 ,度, surface_angle:, -12.95
角度: 8 度, 计算的夹角: ,175.84 ,度, surface_angle:, -13.04
角度: 9 度, 计算的夹角: ,175.35 ,度, surface_angle:, -13.13
角度: 10 度, 计算的夹角: ,174.86 ,度, surface_angle:, -13.22
角度: 11 度, 计算的夹角: ,174.36 ,度, surface_angle:, -13.32
角度: 12 度, 计算的夹角: ,173.86 ,度, surface_angle:, -13.42
角度: 13 度, 计算的夹角: ,173.36 ,度, surface_angle:, -13.53
角度: 14 度, 计算的夹角: ,172.86 ,度, surface_angle:, -13.63
角度: 15 度, 计算的夹角: ,172.35 ,度, surface_angle:, -13.75
角度: 16 度, 计算的夹角: ,171.84 ,度, surface_angle:, -13.86
角度: 17 度, 计算的夹角: ,171.32 ,度, surface_angle:, -13.98
角度: 18 度, 计算的夹角: ,170.80 ,度, surface_angle:, -14.10
角度: 19 度, 计算的夹角: ,170.27 ,度, surface_angle:, -14.22
角度: 20 度, 计算的夹角: ,169.74 ,度, surface_angle:, -14.35
角度: 21 度, 计算的夹角: ,169.20 ,度, surface_angle:, -14.48
角度: 22 度, 计算的夹角: ,168.66 ,度, surface_angle:, -14.62
角度: 23 度, 计算的夹角: ,168.11 ,度, surface_angle:, -14.76
角度: 24 度, 计算的夹角: ,167.55 ,度, surface_angle:, -14.90
角度: 25 度, 计算的夹角: ,166.99 ,度, surface_angle:, -15.05
角度: 26 度, 计算的夹角: ,166.42 ,度, surface_angle:, -15.21
角度: 27 度, 计算的夹角: ,165.84 ,度, surface_angle:, -15.36
角度: 28 度, 计算的夹角: ,165.26 ,度, surface_angle:, -15.52
角度: 29 度, 计算的夹角: ,164.67 ,度, surface_angle:, -15.69
角度: 30 度, 计算的夹角: ,164.06 ,度, surface_angle:, -15.86
角度: 31 度, 计算的夹角: ,163.45 ,度, surface_angle:, -16.03
角度: 32 度, 计算的夹角: ,162.83 ,度, surface_angle:, -16.21
角度: 33 度, 计算的夹角: ,162.20 ,度, surface_angle:, -16.39
角度: 34 度, 计算的夹角: ,161.56 ,度, surface_angle:, -16.58
角度: 35 度, 计算的夹角: ,160.91 ,度, surface_angle:, -16.77
角度: 36 度, 计算的夹角: ,160.25 ,度, surface_angle:, -16.97
角度: 37 度, 计算的夹角: ,159.58 ,度, surface_angle:, -17.18
角度: 38 度, 计算的夹角: ,158.89 ,度, surface_angle:, -17.39
角度: 39 度, 计算的夹角: ,158.20 ,度, surface_angle:, -17.60
角度: 40 度, 计算的夹角: ,157.48 ,度, surface_angle:, -17.82
角度: 41 度, 计算的夹角: ,156.76 ,度, surface_angle:, -18.04
角度: 42 度, 计算的夹角: ,156.02 ,度, surface_angle:, -18.27
角度: 43 度, 计算的夹角: ,155.27 ,度, surface_angle:, -18.51
角度: 44 度, 计算的夹角: ,154.50 ,度, surface_angle:, -18.75
角度: 45 度, 计算的夹角: ,153.72 ,度, surface_angle:, -19.00
角度: 46 度, 计算的夹角: ,152.91 ,度, surface_angle:, -19.25
角度: 47 度, 计算的夹角: ,152.10 ,度, surface_angle:, -19.51
角度: 48 度, 计算的夹角: ,151.26 ,度, surface_angle:, -19.77
角度: 49 度, 计算的夹角: ,150.41 ,度, surface_angle:, -20.04
角度: 50 度, 计算的夹角: ,149.54 ,度, surface_angle:, -20.32
角度: 51 度, 计算的夹角: ,148.64 ,度, surface_angle:, -20.60
角度: 52 度, 计算的夹角: ,147.73 ,度, surface_angle:, -20.89
角度: 53 度, 计算的夹角: ,146.80 ,度, surface_angle:, -21.18
角度: 54 度, 计算的夹角: ,145.84 ,度, surface_angle:, -21.48
角度: 55 度, 计算的夹角: ,144.86 ,度, surface_angle:, -21.79
角度: 56 度, 计算的夹角: ,143.86 ,度, surface_angle:, -22.10
角度: 57 度, 计算的夹角: ,142.84 ,度, surface_angle:, -22.41
角度: 58 度, 计算的夹角: ,141.79 ,度, surface_angle:, -22.73
角度: 59 度, 计算的夹角: ,140.72 ,度, surface_angle:, -23.06
角度: 60 度, 计算的夹角: ,139.62 ,度, surface_angle:, -23.39
