读取的文件: .\RuO6_reordered.vasp
角度: 0 度, 计算的夹角: 170.48 度, surface_angle: 89.92
角度: 1 度, 计算的夹角: 171.44 度, surface_angle: 89.07
角度: 2 度, 计算的夹角: 172.40 度, surface_angle: 88.11
角度: 3 度, 计算的夹角: 173.35 度, surface_angle: 87.15
角度: 4 度, 计算的夹角: 174.31 度, surface_angle: 86.20
角度: 5 度, 计算的夹角: 175.26 度, surface_angle: 85.25
角度: 6 度, 计算的夹角: 176.21 度, surface_angle: 84.30
角度: 7 度, 计算的夹角: 177.15 度, surface_angle: 83.36
角度: 8 度, 计算的夹角: 178.09 度, surface_angle: 82.42
角度: 9 度, 计算的夹角: 179.02 度, surface_angle: 81.49
角度: 10 度, 计算的夹角: 179.88 度, surface_angle: 80.56
角度: 11 度, 计算的夹角: 179.13 度, surface_angle: 79.65
角度: 12 度, 计算的夹角: 178.22 度, surface_angle: 78.74
角度: 13 度, 计算的夹角: 177.33 度, surface_angle: 77.84
角度: 14 度, 计算的夹角: 176.44 度, surface_angle: 76.95
角度: 15 度, 计算的夹角: 175.56 度, surface_angle: 76.07
角度: 16 度, 计算的夹角: 174.69 度, surface_angle: 75.20
角度: 17 度, 计算的夹角: 173.83 度, surface_angle: 74.34
角度: 18 度, 计算的夹角: 172.99 度, surface_angle: 73.50
角度: 19 度, 计算的夹角: 172.15 度, surface_angle: 72.66
角度: 20 度, 计算的夹角: 171.33 度, surface_angle: 71.84
角度: 21 度, 计算的夹角: 170.52 度, surface_angle: 71.03
角度: 22 度, 计算的夹角: 169.73 度, surface_angle: 70.24
角度: 23 度, 计算的夹角: 168.95 度, surface_angle: 69.46
角度: 24 度, 计算的夹角: 168.18 度, surface_angle: 68.69
角度: 25 度, 计算的夹角: 167.42 度, surface_angle: 67.93
角度: 26 度, 计算的夹角: 166.68 度, surface_angle: 67.19
角度: 27 度, 计算的夹角: 165.96 度, surface_angle: 66.47
角度: 28 度, 计算的夹角: 165.24 度, surface_angle: 65.75
角度: 29 度, 计算的夹角: 164.55 度, surface_angle: 65.06
角度: 30 度, 计算的夹角: 163.86 度, surface_angle: 64.37
角度: 31 度, 计算的夹角: 163.19 度, surface_angle: 63.70
角度: 32 度, 计算的夹角: 162.54 度, surface_angle: 63.05
角度: 33 度, 计算的夹角: 161.90 度, surface_angle: 62.41
角度: 34 度, 计算的夹角: 161.27 度, surface_angle: 61.78
角度: 35 度, 计算的夹角: 160.66 度, surface_angle: 61.17
角度: 36 度, 计算的夹角: 160.07 度, surface_angle: 60.58
角度: 37 度, 计算的夹角: 159.48 度, surface_angle: 59.99
角度: 38 度, 计算的夹角: 158.92 度, surface_angle: 59.43
角度: 39 度, 计算的夹角: 158.36 度, surface_angle: 58.87
角度: 40 度, 计算的夹角: 157.82 度, surface_angle: 58.33
角度: 41 度, 计算的夹角: 157.30 度, surface_angle: 57.81
角度: 42 度, 计算的夹角: 156.78 度, surface_angle: 57.29
角度: 43 度, 计算的夹角: 156.29 度, surface_angle: 56.80
角度: 44 度, 计算的夹角: 155.80 度, surface_angle: 56.31
角度: 45 度, 计算的夹角: 155.33 度, surface_angle: 55.84
角度: 46 度, 计算的夹角: 154.87 度, surface_angle: 55.38
角度: 47 度, 计算的夹角: 154.43 度, surface_angle: 54.94
角度: 48 度, 计算的夹角: 153.99 度, surface_angle: 54.50
角度: 49 度, 计算的夹角: 153.57 度, surface_angle: 54.08
角度: 50 度, 计算的夹角: 153.17 度, surface_angle: 53.68
角度: 51 度, 计算的夹角: 152.77 度, surface_angle: 53.28
角度: 52 度, 计算的夹角: 152.39 度, surface_angle: 52.90
角度: 53 度, 计算的夹角: 152.02 度, surface_angle: 52.53
角度: 54 度, 计算的夹角: 151.66 度, surface_angle: 52.17
角度: 55 度, 计算的夹角: 151.31 度, surface_angle: 51.82
角度: 56 度, 计算的夹角: 150.98 度, surface_angle: 51.49
角度: 57 度, 计算的夹角: 150.66 度, surface_angle: 51.17
角度: 58 度, 计算的夹角: 150.35 度, surface_angle: 50.86
角度: 59 度, 计算的夹角: 150.04 度, surface_angle: 50.55
角度: 60 度, 计算的夹角: 149.76 度, surface_angle: 50.27
