角度: 0 度, 计算的夹角: ,179.65 ,度, surface_angle:, -0.41
角度: 1 度, 计算的夹角: ,179.38 ,度, surface_angle:, -0.47
角度: 2 度, 计算的夹角: ,179.10 ,度, surface_angle:, -0.53
角度: 3 度, 计算的夹角: ,178.82 ,度, surface_angle:, -0.59
角度: 4 度, 计算的夹角: ,178.53 ,度, surface_angle:, -0.65
角度: 5 度, 计算的夹角: ,178.25 ,度, surface_angle:, -0.71
角度: 6 度, 计算的夹角: ,177.96 ,度, surface_angle:, -0.77
角度: 7 度, 计算的夹角: ,177.67 ,度, surface_angle:, -0.83
角度: 8 度, 计算的夹角: ,177.38 ,度, surface_angle:, -0.89
角度: 9 度, 计算的夹角: ,177.09 ,度, surface_angle:, -0.96
角度: 10 度, 计算的夹角: ,176.80 ,度, surface_angle:, -1.02
角度: 11 度, 计算的夹角: ,176.51 ,度, surface_angle:, -1.08
角度: 12 度, 计算的夹角: ,176.21 ,度, surface_angle:, -1.15
角度: 13 度, 计算的夹角: ,175.92 ,度, surface_angle:, -1.21
角度: 14 度, 计算的夹角: ,175.62 ,度, surface_angle:, -1.27
角度: 15 度, 计算的夹角: ,175.31 ,度, surface_angle:, -1.34
角度: 16 度, 计算的夹角: ,175.01 ,度, surface_angle:, -1.40
角度: 17 度, 计算的夹角: ,174.70 ,度, surface_angle:, -1.47
角度: 18 度, 计算的夹角: ,174.39 ,度, surface_angle:, -1.54
角度: 19 度, 计算的夹角: ,174.08 ,度, surface_angle:, -1.61
角度: 20 度, 计算的夹角: ,173.76 ,度, surface_angle:, -1.67
角度: 21 度, 计算的夹角: ,173.44 ,度, surface_angle:, -1.74
角度: 22 度, 计算的夹角: ,173.11 ,度, surface_angle:, -1.81
角度: 23 度, 计算的夹角: ,172.78 ,度, surface_angle:, -1.89
角度: 24 度, 计算的夹角: ,172.45 ,度, surface_angle:, -1.96
角度: 25 度, 计算的夹角: ,172.11 ,度, surface_angle:, -2.03
角度: 26 度, 计算的夹角: ,171.77 ,度, surface_angle:, -2.11
角度: 27 度, 计算的夹角: ,171.42 ,度, surface_angle:, -2.18
角度: 28 度, 计算的夹角: ,171.06 ,度, surface_angle:, -2.26
角度: 29 度, 计算的夹角: ,170.70 ,度, surface_angle:, -2.34
角度: 30 度, 计算的夹角: ,170.33 ,度, surface_angle:, -2.42
角度: 31 度, 计算的夹角: ,169.96 ,度, surface_angle:, -2.50
角度: 32 度, 计算的夹角: ,169.58 ,度, surface_angle:, -2.58
角度: 33 度, 计算的夹角: ,169.19 ,度, surface_angle:, -2.67
角度: 34 度, 计算的夹角: ,168.80 ,度, surface_angle:, -2.76
角度: 35 度, 计算的夹角: ,168.39 ,度, surface_angle:, -2.84
角度: 36 度, 计算的夹角: ,167.98 ,度, surface_angle:, -2.93
角度: 37 度, 计算的夹角: ,167.55 ,度, surface_angle:, -3.03
角度: 38 度, 计算的夹角: ,167.12 ,度, surface_angle:, -3.12
角度: 39 度, 计算的夹角: ,166.68 ,度, surface_angle:, -3.22
角度: 40 度, 计算的夹角: ,166.22 ,度, surface_angle:, -3.32
角度: 41 度, 计算的夹角: ,165.76 ,度, surface_angle:, -3.42
角度: 42 度, 计算的夹角: ,165.28 ,度, surface_angle:, -3.52
角度: 43 度, 计算的夹角: ,164.79 ,度, surface_angle:, -3.63
角度: 44 度, 计算的夹角: ,164.28 ,度, surface_angle:, -3.74
角度: 45 度, 计算的夹角: ,163.76 ,度, surface_angle:, -3.85
角度: 46 度, 计算的夹角: ,163.22 ,度, surface_angle:, -3.97
角度: 47 度, 计算的夹角: ,162.67 ,度, surface_angle:, -4.09
角度: 48 度, 计算的夹角: ,162.10 ,度, surface_angle:, -4.21
角度: 49 度, 计算的夹角: ,161.51 ,度, surface_angle:, -4.34
角度: 50 度, 计算的夹角: ,160.90 ,度, surface_angle:, -4.47
角度: 51 度, 计算的夹角: ,160.27 ,度, surface_angle:, -4.61
角度: 52 度, 计算的夹角: ,159.62 ,度, surface_angle:, -4.75
角度: 53 度, 计算的夹角: ,158.94 ,度, surface_angle:, -4.89
角度: 54 度, 计算的夹角: ,158.24 ,度, surface_angle:, -5.04
角度: 55 度, 计算的夹角: ,157.50 ,度, surface_angle:, -5.20
角度: 56 度, 计算的夹角: ,156.74 ,度, surface_angle:, -5.36
角度: 57 度, 计算的夹角: ,155.95 ,度, surface_angle:, -5.53
角度: 58 度, 计算的夹角: ,155.13 ,度, surface_angle:, -5.70
角度: 59 度, 计算的夹角: ,154.27 ,度, surface_angle:, -5.88
角度: 60 度, 计算的夹角: ,153.37 ,度, surface_angle:, -6.06
