读取的文件: .\RuO6.vasp
角度: 0 度, 计算的夹角: 179.88 度, surface_angle: -89.96
角度: 1 度, 计算的夹角: 178.99 度, surface_angle: -89.02
角度: 2 度, 计算的夹角: 178.03 度, surface_angle: -88.06
角度: 3 度, 计算的夹角: 177.07 度, surface_angle: -87.11
角度: 4 度, 计算的夹角: 176.11 度, surface_angle: -86.15
角度: 5 度, 计算的夹角: 175.16 度, surface_angle: -85.20
角度: 6 度, 计算的夹角: 174.21 度, surface_angle: -84.25
角度: 7 度, 计算的夹角: 173.27 度, surface_angle: -83.30
角度: 8 度, 计算的夹角: 172.33 度, surface_angle: -82.37
角度: 9 度, 计算的夹角: 171.40 度, surface_angle: -81.43
角度: 10 度, 计算的夹角: 170.48 度, surface_angle: -80.51
角度: 11 度, 计算的夹角: 169.56 度, surface_angle: -79.59
角度: 12 度, 计算的夹角: 168.65 度, surface_angle: -78.68
角度: 13 度, 计算的夹角: 167.75 度, surface_angle: -77.79
角度: 14 度, 计算的夹角: 166.86 度, surface_angle: -76.90
角度: 15 度, 计算的夹角: 165.98 度, surface_angle: -76.02
角度: 16 度, 计算的夹角: 165.11 度, surface_angle: -75.15
角度: 17 度, 计算的夹角: 164.26 度, surface_angle: -74.29
角度: 18 度, 计算的夹角: 163.41 度, surface_angle: -73.44
角度: 19 度, 计算的夹角: 162.58 度, surface_angle: -72.61
角度: 20 度, 计算的夹角: 161.76 度, surface_angle: -71.79
角度: 21 度, 计算的夹角: 160.95 度, surface_angle: -70.98
角度: 22 度, 计算的夹角: 160.15 度, surface_angle: -70.18
角度: 23 度, 计算的夹角: 159.37 度, surface_angle: -69.40
角度: 24 度, 计算的夹角: 158.60 度, surface_angle: -68.63
角度: 25 度, 计算的夹角: 157.85 度, surface_angle: -67.88
角度: 26 度, 计算的夹角: 157.11 度, surface_angle: -67.14
角度: 27 度, 计算的夹角: 156.38 度, surface_angle: -66.41
角度: 28 度, 计算的夹角: 155.67 度, surface_angle: -65.70
角度: 29 度, 计算的夹角: 154.97 度, surface_angle: -65.00
角度: 30 度, 计算的夹角: 154.29 度, surface_angle: -64.32
角度: 31 度, 计算的夹角: 153.62 度, surface_angle: -63.65
角度: 32 度, 计算的夹角: 152.96 度, surface_angle: -63.00
角度: 33 度, 计算的夹角: 152.32 度, surface_angle: -62.36
角度: 34 度, 计算的夹角: 151.70 度, surface_angle: -61.73
角度: 35 度, 计算的夹角: 151.09 度, surface_angle: -61.12
角度: 36 度, 计算的夹角: 150.49 度, surface_angle: -60.52
角度: 37 度, 计算的夹角: 149.91 度, surface_angle: -59.94
角度: 38 度, 计算的夹角: 149.34 度, surface_angle: -59.37
角度: 39 度, 计算的夹角: 148.79 度, surface_angle: -58.82
角度: 40 度, 计算的夹角: 148.25 度, surface_angle: -58.28
角度: 41 度, 计算的夹角: 147.72 度, surface_angle: -57.75
角度: 42 度, 计算的夹角: 147.21 度, surface_angle: -57.24
角度: 43 度, 计算的夹角: 146.71 度, surface_angle: -56.74
角度: 44 度, 计算的夹角: 146.22 度, surface_angle: -56.26
角度: 45 度, 计算的夹角: 145.75 度, surface_angle: -55.79
角度: 46 度, 计算的夹角: 145.30 度, surface_angle: -55.33
角度: 47 度, 计算的夹角: 144.85 度, surface_angle: -54.88
角度: 48 度, 计算的夹角: 144.42 度, surface_angle: -54.45
角度: 49 度, 计算的夹角: 144.00 度, surface_angle: -54.03
角度: 50 度, 计算的夹角: 143.59 度, surface_angle: -53.62
角度: 51 度, 计算的夹角: 143.20 度, surface_angle: -53.23
角度: 52 度, 计算的夹角: 142.82 度, surface_angle: -52.85
角度: 53 度, 计算的夹角: 142.45 度, surface_angle: -52.48
角度: 54 度, 计算的夹角: 142.09 度, surface_angle: -52.12
角度: 55 度, 计算的夹角: 141.74 度, surface_angle: -51.77
角度: 56 度, 计算的夹角: 141.41 度, surface_angle: -51.44
角度: 57 度, 计算的夹角: 141.08 度, surface_angle: -51.12
角度: 58 度, 计算的夹角: 140.77 度, surface_angle: -50.81
角度: 59 度, 计算的夹角: 140.47 度, surface_angle: -50.51
角度: 60 度, 计算的夹角: 140.18 度, surface_angle: -50.22
