角度: 0 度, 计算的夹角: ,179.94 ,度, surface_angle:, -6.98
角度: 1 度, 计算的夹角: ,179.82 ,度, surface_angle:, -7.03
角度: 2 度, 计算的夹角: ,179.66 ,度, surface_angle:, -7.08
角度: 3 度, 计算的夹角: ,179.50 ,度, surface_angle:, -7.14
角度: 4 度, 计算的夹角: ,179.33 ,度, surface_angle:, -7.19
角度: 5 度, 计算的夹角: ,179.17 ,度, surface_angle:, -7.25
角度: 6 度, 计算的夹角: ,179.00 ,度, surface_angle:, -7.31
角度: 7 度, 计算的夹角: ,178.83 ,度, surface_angle:, -7.37
角度: 8 度, 计算的夹角: ,178.66 ,度, surface_angle:, -7.44
角度: 9 度, 计算的夹角: ,178.49 ,度, surface_angle:, -7.51
角度: 10 度, 计算的夹角: ,178.32 ,度, surface_angle:, -7.57
角度: 11 度, 计算的夹角: ,178.14 ,度, surface_angle:, -7.65
角度: 12 度, 计算的夹角: ,177.96 ,度, surface_angle:, -7.72
角度: 13 度, 计算的夹角: ,177.78 ,度, surface_angle:, -7.80
角度: 14 度, 计算的夹角: ,177.60 ,度, surface_angle:, -7.88
角度: 15 度, 计算的夹角: ,177.42 ,度, surface_angle:, -7.96
角度: 16 度, 计算的夹角: ,177.23 ,度, surface_angle:, -8.05
角度: 17 度, 计算的夹角: ,177.04 ,度, surface_angle:, -8.14
角度: 18 度, 计算的夹角: ,176.85 ,度, surface_angle:, -8.23
角度: 19 度, 计算的夹角: ,176.66 ,度, surface_angle:, -8.32
角度: 20 度, 计算的夹角: ,176.46 ,度, surface_angle:, -8.42
角度: 21 度, 计算的夹角: ,176.25 ,度, surface_angle:, -8.52
角度: 22 度, 计算的夹角: ,176.05 ,度, surface_angle:, -8.63
角度: 23 度, 计算的夹角: ,175.84 ,度, surface_angle:, -8.73
角度: 24 度, 计算的夹角: ,175.63 ,度, surface_angle:, -8.85
角度: 25 度, 计算的夹角: ,175.41 ,度, surface_angle:, -8.96
角度: 26 度, 计算的夹角: ,175.19 ,度, surface_angle:, -9.08
角度: 27 度, 计算的夹角: ,174.96 ,度, surface_angle:, -9.21
角度: 28 度, 计算的夹角: ,174.73 ,度, surface_angle:, -9.33
角度: 29 度, 计算的夹角: ,174.49 ,度, surface_angle:, -9.47
角度: 30 度, 计算的夹角: ,174.25 ,度, surface_angle:, -9.60
角度: 31 度, 计算的夹角: ,174.00 ,度, surface_angle:, -9.75
角度: 32 度, 计算的夹角: ,173.74 ,度, surface_angle:, -9.90
角度: 33 度, 计算的夹角: ,173.48 ,度, surface_angle:, -10.05
角度: 34 度, 计算的夹角: ,173.21 ,度, surface_angle:, -10.21
角度: 35 度, 计算的夹角: ,172.93 ,度, surface_angle:, -10.37
角度: 36 度, 计算的夹角: ,172.65 ,度, surface_angle:, -10.54
角度: 37 度, 计算的夹角: ,172.36 ,度, surface_angle:, -10.72
角度: 38 度, 计算的夹角: ,172.06 ,度, surface_angle:, -10.90
角度: 39 度, 计算的夹角: ,171.75 ,度, surface_angle:, -11.10
角度: 40 度, 计算的夹角: ,171.43 ,度, surface_angle:, -11.29
角度: 41 度, 计算的夹角: ,171.09 ,度, surface_angle:, -11.50
角度: 42 度, 计算的夹角: ,170.75 ,度, surface_angle:, -11.72
角度: 43 度, 计算的夹角: ,170.40 ,度, surface_angle:, -11.94
角度: 44 度, 计算的夹角: ,170.03 ,度, surface_angle:, -12.17
角度: 45 度, 计算的夹角: ,169.65 ,度, surface_angle:, -12.42
角度: 46 度, 计算的夹角: ,169.26 ,度, surface_angle:, -12.67
角度: 47 度, 计算的夹角: ,168.85 ,度, surface_angle:, -12.93
角度: 48 度, 计算的夹角: ,168.43 ,度, surface_angle:, -13.21
角度: 49 度, 计算的夹角: ,167.99 ,度, surface_angle:, -13.50
角度: 50 度, 计算的夹角: ,167.53 ,度, surface_angle:, -13.80
角度: 51 度, 计算的夹角: ,167.05 ,度, surface_angle:, -14.12
角度: 52 度, 计算的夹角: ,166.55 ,度, surface_angle:, -14.45
角度: 53 度, 计算的夹角: ,166.03 ,度, surface_angle:, -14.79
角度: 54 度, 计算的夹角: ,165.48 ,度, surface_angle:, -15.16
角度: 55 度, 计算的夹角: ,164.91 ,度, surface_angle:, -15.54
角度: 56 度, 计算的夹角: ,164.31 ,度, surface_angle:, -15.94
角度: 57 度, 计算的夹角: ,163.69 ,度, surface_angle:, -16.36
角度: 58 度, 计算的夹角: ,163.03 ,度, surface_angle:, -16.80
角度: 59 度, 计算的夹角: ,162.33 ,度, surface_angle:, -17.27
角度: 60 度, 计算的夹角: ,161.60 ,度, surface_angle:, -17.76
