角度: 0 度, 计算的夹角: ,179.94 ,度, surface_angle:, -6.46
角度: 1 度, 计算的夹角: ,179.81 ,度, surface_angle:, -6.51
角度: 2 度, 计算的夹角: ,179.64 ,度, surface_angle:, -6.56
角度: 3 度, 计算的夹角: ,179.47 ,度, surface_angle:, -6.61
角度: 4 度, 计算的夹角: ,179.30 ,度, surface_angle:, -6.67
角度: 5 度, 计算的夹角: ,179.12 ,度, surface_angle:, -6.73
角度: 6 度, 计算的夹角: ,178.95 ,度, surface_angle:, -6.79
角度: 7 度, 计算的夹角: ,178.77 ,度, surface_angle:, -6.85
角度: 8 度, 计算的夹角: ,178.59 ,度, surface_angle:, -6.91
角度: 9 度, 计算的夹角: ,178.41 ,度, surface_angle:, -6.98
角度: 10 度, 计算的夹角: ,178.23 ,度, surface_angle:, -7.05
角度: 11 度, 计算的夹角: ,178.05 ,度, surface_angle:, -7.12
角度: 12 度, 计算的夹角: ,177.86 ,度, surface_angle:, -7.19
角度: 13 度, 计算的夹角: ,177.68 ,度, surface_angle:, -7.27
角度: 14 度, 计算的夹角: ,177.49 ,度, surface_angle:, -7.35
角度: 15 度, 计算的夹角: ,177.29 ,度, surface_angle:, -7.43
角度: 16 度, 计算的夹角: ,177.10 ,度, surface_angle:, -7.51
角度: 17 度, 计算的夹角: ,176.90 ,度, surface_angle:, -7.60
角度: 18 度, 计算的夹角: ,176.70 ,度, surface_angle:, -7.68
角度: 19 度, 计算的夹角: ,176.50 ,度, surface_angle:, -7.78
角度: 20 度, 计算的夹角: ,176.29 ,度, surface_angle:, -7.87
角度: 21 度, 计算的夹角: ,176.08 ,度, surface_angle:, -7.97
角度: 22 度, 计算的夹角: ,175.87 ,度, surface_angle:, -8.07
角度: 23 度, 计算的夹角: ,175.65 ,度, surface_angle:, -8.18
角度: 24 度, 计算的夹角: ,175.43 ,度, surface_angle:, -8.28
角度: 25 度, 计算的夹角: ,175.21 ,度, surface_angle:, -8.40
角度: 26 度, 计算的夹角: ,174.98 ,度, surface_angle:, -8.51
角度: 27 度, 计算的夹角: ,174.74 ,度, surface_angle:, -8.63
角度: 28 度, 计算的夹角: ,174.50 ,度, surface_angle:, -8.76
角度: 29 度, 计算的夹角: ,174.26 ,度, surface_angle:, -8.88
角度: 30 度, 计算的夹角: ,174.01 ,度, surface_angle:, -9.02
角度: 31 度, 计算的夹角: ,173.75 ,度, surface_angle:, -9.15
角度: 32 度, 计算的夹角: ,173.49 ,度, surface_angle:, -9.30
角度: 33 度, 计算的夹角: ,173.22 ,度, surface_angle:, -9.44
角度: 34 度, 计算的夹角: ,172.94 ,度, surface_angle:, -9.59
角度: 35 度, 计算的夹角: ,172.66 ,度, surface_angle:, -9.75
角度: 36 度, 计算的夹角: ,172.37 ,度, surface_angle:, -9.92
角度: 37 度, 计算的夹角: ,172.07 ,度, surface_angle:, -10.09
角度: 38 度, 计算的夹角: ,171.76 ,度, surface_angle:, -10.26
角度: 39 度, 计算的夹角: ,171.44 ,度, surface_angle:, -10.44
角度: 40 度, 计算的夹角: ,171.12 ,度, surface_angle:, -10.64
角度: 41 度, 计算的夹角: ,170.78 ,度, surface_angle:, -10.83
角度: 42 度, 计算的夹角: ,170.43 ,度, surface_angle:, -11.04
角度: 43 度, 计算的夹角: ,170.07 ,度, surface_angle:, -11.25
角度: 44 度, 计算的夹角: ,169.70 ,度, surface_angle:, -11.47
角度: 45 度, 计算的夹角: ,169.31 ,度, surface_angle:, -11.71
角度: 46 度, 计算的夹角: ,168.91 ,度, surface_angle:, -11.95
角度: 47 度, 计算的夹角: ,168.50 ,度, surface_angle:, -12.20
角度: 48 度, 计算的夹角: ,168.07 ,度, surface_angle:, -12.46
角度: 49 度, 计算的夹角: ,167.62 ,度, surface_angle:, -12.74
角度: 50 度, 计算的夹角: ,167.15 ,度, surface_angle:, -13.02
角度: 51 度, 计算的夹角: ,166.67 ,度, surface_angle:, -13.32
角度: 52 度, 计算的夹角: ,166.16 ,度, surface_angle:, -13.64
角度: 53 度, 计算的夹角: ,165.64 ,度, surface_angle:, -13.97
角度: 54 度, 计算的夹角: ,165.08 ,度, surface_angle:, -14.31
角度: 55 度, 计算的夹角: ,164.51 ,度, surface_angle:, -14.67
角度: 56 度, 计算的夹角: ,163.90 ,度, surface_angle:, -15.05
角度: 57 度, 计算的夹角: ,163.27 ,度, surface_angle:, -15.45
角度: 58 度, 计算的夹角: ,162.60 ,度, surface_angle:, -15.87
角度: 59 度, 计算的夹角: ,161.90 ,度, surface_angle:, -16.31
角度: 60 度, 计算的夹角: ,161.16 ,度, surface_angle:, -16.78
