角度: 0 度, 计算的夹角: ,179.94 ,度, surface_angle:, -37.28
角度: 1 度, 计算的夹角: ,179.66 ,度, surface_angle:, -37.31
角度: 2 度, 计算的夹角: ,179.30 ,度, surface_angle:, -37.33
角度: 3 度, 计算的夹角: ,178.94 ,度, surface_angle:, -37.37
角度: 4 度, 计算的夹角: ,178.57 ,度, surface_angle:, -37.41
角度: 5 度, 计算的夹角: ,178.20 ,度, surface_angle:, -37.46
角度: 6 度, 计算的夹角: ,177.83 ,度, surface_angle:, -37.51
角度: 7 度, 计算的夹角: ,177.46 ,度, surface_angle:, -37.58
角度: 8 度, 计算的夹角: ,177.09 ,度, surface_angle:, -37.64
角度: 9 度, 计算的夹角: ,176.72 ,度, surface_angle:, -37.72
角度: 10 度, 计算的夹角: ,176.34 ,度, surface_angle:, -37.80
角度: 11 度, 计算的夹角: ,175.96 ,度, surface_angle:, -37.89
角度: 12 度, 计算的夹角: ,175.58 ,度, surface_angle:, -37.99
角度: 13 度, 计算的夹角: ,175.19 ,度, surface_angle:, -38.09
角度: 14 度, 计算的夹角: ,174.80 ,度, surface_angle:, -38.20
角度: 15 度, 计算的夹角: ,174.41 ,度, surface_angle:, -38.31
角度: 16 度, 计算的夹角: ,174.01 ,度, surface_angle:, -38.44
角度: 17 度, 计算的夹角: ,173.61 ,度, surface_angle:, -38.57
角度: 18 度, 计算的夹角: ,173.21 ,度, surface_angle:, -38.70
角度: 19 度, 计算的夹角: ,172.80 ,度, surface_angle:, -38.85
角度: 20 度, 计算的夹角: ,172.39 ,度, surface_angle:, -39.00
角度: 21 度, 计算的夹角: ,171.97 ,度, surface_angle:, -39.16
角度: 22 度, 计算的夹角: ,171.55 ,度, surface_angle:, -39.32
角度: 23 度, 计算的夹角: ,171.12 ,度, surface_angle:, -39.50
角度: 24 度, 计算的夹角: ,170.68 ,度, surface_angle:, -39.68
角度: 25 度, 计算的夹角: ,170.24 ,度, surface_angle:, -39.87
角度: 26 度, 计算的夹角: ,169.80 ,度, surface_angle:, -40.06
角度: 27 度, 计算的夹角: ,169.35 ,度, surface_angle:, -40.26
角度: 28 度, 计算的夹角: ,168.89 ,度, surface_angle:, -40.47
角度: 29 度, 计算的夹角: ,168.42 ,度, surface_angle:, -40.69
角度: 30 度, 计算的夹角: ,167.95 ,度, surface_angle:, -40.92
角度: 31 度, 计算的夹角: ,167.47 ,度, surface_angle:, -41.15
角度: 32 度, 计算的夹角: ,166.98 ,度, surface_angle:, -41.39
角度: 33 度, 计算的夹角: ,166.49 ,度, surface_angle:, -41.64
角度: 34 度, 计算的夹角: ,165.98 ,度, surface_angle:, -41.89
角度: 35 度, 计算的夹角: ,165.47 ,度, surface_angle:, -42.16
角度: 36 度, 计算的夹角: ,164.95 ,度, surface_angle:, -42.43
角度: 37 度, 计算的夹角: ,164.42 ,度, surface_angle:, -42.71
角度: 38 度, 计算的夹角: ,163.89 ,度, surface_angle:, -42.99
角度: 39 度, 计算的夹角: ,163.34 ,度, surface_angle:, -43.29
角度: 40 度, 计算的夹角: ,162.78 ,度, surface_angle:, -43.59
角度: 41 度, 计算的夹角: ,162.22 ,度, surface_angle:, -43.90
角度: 42 度, 计算的夹角: ,161.64 ,度, surface_angle:, -44.22
角度: 43 度, 计算的夹角: ,161.06 ,度, surface_angle:, -44.54
角度: 44 度, 计算的夹角: ,160.46 ,度, surface_angle:, -44.87
角度: 45 度, 计算的夹角: ,159.85 ,度, surface_angle:, -45.21
角度: 46 度, 计算的夹角: ,159.23 ,度, surface_angle:, -45.56
角度: 47 度, 计算的夹角: ,158.60 ,度, surface_angle:, -45.91
角度: 48 度, 计算的夹角: ,157.96 ,度, surface_angle:, -46.27
角度: 49 度, 计算的夹角: ,157.31 ,度, surface_angle:, -46.64
角度: 50 度, 计算的夹角: ,156.65 ,度, surface_angle:, -47.02
角度: 51 度, 计算的夹角: ,155.97 ,度, surface_angle:, -47.40
角度: 52 度, 计算的夹角: ,155.28 ,度, surface_angle:, -47.78
角度: 53 度, 计算的夹角: ,154.58 ,度, surface_angle:, -48.17
角度: 54 度, 计算的夹角: ,153.87 ,度, surface_angle:, -48.57
角度: 55 度, 计算的夹角: ,153.14 ,度, surface_angle:, -48.97
角度: 56 度, 计算的夹角: ,152.41 ,度, surface_angle:, -49.38
角度: 57 度, 计算的夹角: ,151.66 ,度, surface_angle:, -49.79
角度: 58 度, 计算的夹角: ,150.89 ,度, surface_angle:, -50.21
角度: 59 度, 计算的夹角: ,150.12 ,度, surface_angle:, -50.63
角度: 60 度, 计算的夹角: ,149.33 ,度, surface_angle:, -51.05
