角度: 0 度, 计算的夹角: ,179.94 ,度, surface_angle:, -89.98
角度: 1 度, 计算的夹角: ,179.06 ,度, surface_angle:, -89.03
角度: 2 度, 计算的夹角: ,178.10 ,度, surface_angle:, -88.07
角度: 3 度, 计算的夹角: ,177.15 ,度, surface_angle:, -87.11
角度: 4 度, 计算的夹角: ,176.19 ,度, surface_angle:, -86.15
角度: 5 度, 计算的夹角: ,175.24 ,度, surface_angle:, -85.20
角度: 6 度, 计算的夹角: ,174.29 ,度, surface_angle:, -84.25
角度: 7 度, 计算的夹角: ,173.35 ,度, surface_angle:, -83.31
角度: 8 度, 计算的夹角: ,172.41 ,度, surface_angle:, -82.37
角度: 9 度, 计算的夹角: ,171.48 ,度, surface_angle:, -81.44
角度: 10 度, 计算的夹角: ,170.55 ,度, surface_angle:, -80.51
角度: 11 度, 计算的夹角: ,169.63 ,度, surface_angle:, -79.60
角度: 12 度, 计算的夹角: ,168.73 ,度, surface_angle:, -78.69
角度: 13 度, 计算的夹角: ,167.83 ,度, surface_angle:, -77.79
角度: 14 度, 计算的夹角: ,166.94 ,度, surface_angle:, -76.90
角度: 15 度, 计算的夹角: ,166.06 ,度, surface_angle:, -76.02
角度: 16 度, 计算的夹角: ,165.19 ,度, surface_angle:, -75.15
角度: 17 度, 计算的夹角: ,164.33 ,度, surface_angle:, -74.30
角度: 18 度, 计算的夹角: ,163.49 ,度, surface_angle:, -73.45
角度: 19 度, 计算的夹角: ,162.65 ,度, surface_angle:, -72.62
角度: 20 度, 计算的夹角: ,161.83 ,度, surface_angle:, -71.79
角度: 21 度, 计算的夹角: ,161.02 ,度, surface_angle:, -70.99
角度: 22 度, 计算的夹角: ,160.23 ,度, surface_angle:, -70.19
角度: 23 度, 计算的夹角: ,159.44 ,度, surface_angle:, -69.41
角度: 24 度, 计算的夹角: ,158.68 ,度, surface_angle:, -68.64
角度: 25 度, 计算的夹角: ,157.92 ,度, surface_angle:, -67.89
角度: 26 度, 计算的夹角: ,157.18 ,度, surface_angle:, -67.15
角度: 27 度, 计算的夹角: ,156.46 ,度, surface_angle:, -66.42
角度: 28 度, 计算的夹角: ,155.74 ,度, surface_angle:, -65.71
角度: 29 度, 计算的夹角: ,155.05 ,度, surface_angle:, -65.01
角度: 30 度, 计算的夹角: ,154.36 ,度, surface_angle:, -64.33
角度: 31 度, 计算的夹角: ,153.69 ,度, surface_angle:, -63.66
角度: 32 度, 计算的夹角: ,153.04 ,度, surface_angle:, -63.00
角度: 33 度, 计算的夹角: ,152.40 ,度, surface_angle:, -62.36
角度: 34 度, 计算的夹角: ,151.77 ,度, surface_angle:, -61.74
角度: 35 度, 计算的夹角: ,151.16 ,度, surface_angle:, -61.13
角度: 36 度, 计算的夹角: ,150.57 ,度, surface_angle:, -60.53
角度: 37 度, 计算的夹角: ,149.98 ,度, surface_angle:, -59.95
角度: 38 度, 计算的夹角: ,149.42 ,度, surface_angle:, -59.38
角度: 39 度, 计算的夹角: ,148.86 ,度, surface_angle:, -58.83
角度: 40 度, 计算的夹角: ,148.32 ,度, surface_angle:, -58.29
角度: 41 度, 计算的夹角: ,147.80 ,度, surface_angle:, -57.76
角度: 42 度, 计算的夹角: ,147.28 ,度, surface_angle:, -57.25
角度: 43 度, 计算的夹角: ,146.79 ,度, surface_angle:, -56.75
角度: 44 度, 计算的夹角: ,146.30 ,度, surface_angle:, -56.27
角度: 45 度, 计算的夹角: ,145.83 ,度, surface_angle:, -55.79
角度: 46 度, 计算的夹角: ,145.37 ,度, surface_angle:, -55.34
角度: 47 度, 计算的夹角: ,144.93 ,度, surface_angle:, -54.89
角度: 48 度, 计算的夹角: ,144.49 ,度, surface_angle:, -54.46
角度: 49 度, 计算的夹角: ,144.08 ,度, surface_angle:, -54.04
角度: 50 度, 计算的夹角: ,143.67 ,度, surface_angle:, -53.63
角度: 51 度, 计算的夹角: ,143.27 ,度, surface_angle:, -53.24
角度: 52 度, 计算的夹角: ,142.89 ,度, surface_angle:, -52.86
角度: 53 度, 计算的夹角: ,142.52 ,度, surface_angle:, -52.49
角度: 54 度, 计算的夹角: ,142.16 ,度, surface_angle:, -52.13
角度: 55 度, 计算的夹角: ,141.82 ,度, surface_angle:, -51.78
角度: 56 度, 计算的夹角: ,141.48 ,度, surface_angle:, -51.45
角度: 57 度, 计算的夹角: ,141.16 ,度, surface_angle:, -51.12
角度: 58 度, 计算的夹角: ,140.85 ,度, surface_angle:, -50.81
角度: 59 度, 计算的夹角: ,140.55 ,度, surface_angle:, -50.51
角度: 60 度, 计算的夹角: ,140.26 ,度, surface_angle:, -50.22
