角度: 0 度, 计算的夹角: ,179.94 ,度, surface_angle:, 1.18
角度: 1 度, 计算的夹角: ,179.75 ,度, surface_angle:, 1.13
角度: 2 度, 计算的夹角: ,179.49 ,度, surface_angle:, 1.08
角度: 3 度, 计算的夹角: ,179.23 ,度, surface_angle:, 1.02
角度: 4 度, 计算的夹角: ,178.97 ,度, surface_angle:, 0.97
角度: 5 度, 计算的夹角: ,178.71 ,度, surface_angle:, 0.92
角度: 6 度, 计算的夹角: ,178.45 ,度, surface_angle:, 0.87
角度: 7 度, 计算的夹角: ,178.19 ,度, surface_angle:, 0.82
角度: 8 度, 计算的夹角: ,177.93 ,度, surface_angle:, 0.77
角度: 9 度, 计算的夹角: ,177.66 ,度, surface_angle:, 0.72
角度: 10 度, 计算的夹角: ,177.40 ,度, surface_angle:, 0.67
角度: 11 度, 计算的夹角: ,177.13 ,度, surface_angle:, 0.61
角度: 12 度, 计算的夹角: ,176.86 ,度, surface_angle:, 0.56
角度: 13 度, 计算的夹角: ,176.59 ,度, surface_angle:, 0.51
角度: 14 度, 计算的夹角: ,176.32 ,度, surface_angle:, 0.46
角度: 15 度, 计算的夹角: ,176.04 ,度, surface_angle:, 0.41
角度: 16 度, 计算的夹角: ,175.77 ,度, surface_angle:, 0.36
角度: 17 度, 计算的夹角: ,175.49 ,度, surface_angle:, 0.31
角度: 18 度, 计算的夹角: ,175.21 ,度, surface_angle:, 0.26
角度: 19 度, 计算的夹角: ,174.92 ,度, surface_angle:, 0.21
角度: 20 度, 计算的夹角: ,174.63 ,度, surface_angle:, 0.16
角度: 21 度, 计算的夹角: ,174.34 ,度, surface_angle:, 0.10
角度: 22 度, 计算的夹角: ,174.05 ,度, surface_angle:, 0.05
角度: 23 度, 计算的夹角: ,173.75 ,度, surface_angle:, -0.00
角度: 24 度, 计算的夹角: ,173.44 ,度, surface_angle:, -0.05
角度: 25 度, 计算的夹角: ,173.14 ,度, surface_angle:, -0.11
角度: 26 度, 计算的夹角: ,172.82 ,度, surface_angle:, -0.16
角度: 27 度, 计算的夹角: ,172.51 ,度, surface_angle:, -0.21
角度: 28 度, 计算的夹角: ,172.19 ,度, surface_angle:, -0.27
角度: 29 度, 计算的夹角: ,171.86 ,度, surface_angle:, -0.32
角度: 30 度, 计算的夹角: ,171.53 ,度, surface_angle:, -0.38
角度: 31 度, 计算的夹角: ,171.19 ,度, surface_angle:, -0.43
角度: 32 度, 计算的夹角: ,170.84 ,度, surface_angle:, -0.49
角度: 33 度, 计算的夹角: ,170.49 ,度, surface_angle:, -0.55
角度: 34 度, 计算的夹角: ,170.13 ,度, surface_angle:, -0.61
角度: 35 度, 计算的夹角: ,169.76 ,度, surface_angle:, -0.66
角度: 36 度, 计算的夹角: ,169.39 ,度, surface_angle:, -0.72
角度: 37 度, 计算的夹角: ,169.00 ,度, surface_angle:, -0.79
角度: 38 度, 计算的夹角: ,168.61 ,度, surface_angle:, -0.85
角度: 39 度, 计算的夹角: ,168.21 ,度, surface_angle:, -0.91
角度: 40 度, 计算的夹角: ,167.79 ,度, surface_angle:, -0.97
角度: 41 度, 计算的夹角: ,167.37 ,度, surface_angle:, -1.04
角度: 42 度, 计算的夹角: ,166.93 ,度, surface_angle:, -1.10
角度: 43 度, 计算的夹角: ,166.49 ,度, surface_angle:, -1.17
角度: 44 度, 计算的夹角: ,166.03 ,度, surface_angle:, -1.24
角度: 45 度, 计算的夹角: ,165.55 ,度, surface_angle:, -1.31
角度: 46 度, 计算的夹角: ,165.06 ,度, surface_angle:, -1.38
角度: 47 度, 计算的夹角: ,164.56 ,度, surface_angle:, -1.46
角度: 48 度, 计算的夹角: ,164.04 ,度, surface_angle:, -1.53
角度: 49 度, 计算的夹角: ,163.50 ,度, surface_angle:, -1.61
角度: 50 度, 计算的夹角: ,162.94 ,度, surface_angle:, -1.69
角度: 51 度, 计算的夹角: ,162.36 ,度, surface_angle:, -1.77
角度: 52 度, 计算的夹角: ,161.76 ,度, surface_angle:, -1.85
角度: 53 度, 计算的夹角: ,161.14 ,度, surface_angle:, -1.94
角度: 54 度, 计算的夹角: ,160.49 ,度, surface_angle:, -2.03
角度: 55 度, 计算的夹角: ,159.82 ,度, surface_angle:, -2.12
角度: 56 度, 计算的夹角: ,159.12 ,度, surface_angle:, -2.21
角度: 57 度, 计算的夹角: ,158.39 ,度, surface_angle:, -2.31
角度: 58 度, 计算的夹角: ,157.62 ,度, surface_angle:, -2.41
角度: 59 度, 计算的夹角: ,156.83 ,度, surface_angle:, -2.52
角度: 60 度, 计算的夹角: ,155.99 ,度, surface_angle:, -2.63
