角度: 0 度, 计算的夹角: ,179.88 ,度, surface_angle:, -7.05
角度: 1 度, 计算的夹角: ,179.89 ,度, surface_angle:, -7.10
角度: 2 度, 计算的夹角: ,179.75 ,度, surface_angle:, -7.15
角度: 3 度, 计算的夹角: ,179.59 ,度, surface_angle:, -7.20
角度: 4 度, 计算的夹角: ,179.42 ,度, surface_angle:, -7.26
角度: 5 度, 计算的夹角: ,179.26 ,度, surface_angle:, -7.32
角度: 6 度, 计算的夹角: ,179.09 ,度, surface_angle:, -7.38
角度: 7 度, 计算的夹角: ,178.92 ,度, surface_angle:, -7.44
角度: 8 度, 计算的夹角: ,178.75 ,度, surface_angle:, -7.50
角度: 9 度, 计算的夹角: ,178.57 ,度, surface_angle:, -7.57
角度: 10 度, 计算的夹角: ,178.40 ,度, surface_angle:, -7.64
角度: 11 度, 计算的夹角: ,178.22 ,度, surface_angle:, -7.71
角度: 12 度, 计算的夹角: ,178.04 ,度, surface_angle:, -7.79
角度: 13 度, 计算的夹角: ,177.86 ,度, surface_angle:, -7.86
角度: 14 度, 计算的夹角: ,177.68 ,度, surface_angle:, -7.95
角度: 15 度, 计算的夹角: ,177.49 ,度, surface_angle:, -8.03
角度: 16 度, 计算的夹角: ,177.30 ,度, surface_angle:, -8.11
角度: 17 度, 计算的夹角: ,177.11 ,度, surface_angle:, -8.20
角度: 18 度, 计算的夹角: ,176.92 ,度, surface_angle:, -8.29
角度: 19 度, 计算的夹角: ,176.72 ,度, surface_angle:, -8.39
角度: 20 度, 计算的夹角: ,176.52 ,度, surface_angle:, -8.49
角度: 21 度, 计算的夹角: ,176.32 ,度, surface_angle:, -8.59
角度: 22 度, 计算的夹角: ,176.11 ,度, surface_angle:, -8.70
角度: 23 度, 计算的夹角: ,175.90 ,度, surface_angle:, -8.80
角度: 24 度, 计算的夹角: ,175.68 ,度, surface_angle:, -8.92
角度: 25 度, 计算的夹角: ,175.46 ,度, surface_angle:, -9.03
角度: 26 度, 计算的夹角: ,175.24 ,度, surface_angle:, -9.15
角度: 27 度, 计算的夹角: ,175.01 ,度, surface_angle:, -9.28
角度: 28 度, 计算的夹角: ,174.78 ,度, surface_angle:, -9.41
角度: 29 度, 计算的夹角: ,174.54 ,度, surface_angle:, -9.54
角度: 30 度, 计算的夹角: ,174.29 ,度, surface_angle:, -9.68
角度: 31 度, 计算的夹角: ,174.04 ,度, surface_angle:, -9.82
角度: 32 度, 计算的夹角: ,173.78 ,度, surface_angle:, -9.97
角度: 33 度, 计算的夹角: ,173.52 ,度, surface_angle:, -10.13
角度: 34 度, 计算的夹角: ,173.25 ,度, surface_angle:, -10.29
角度: 35 度, 计算的夹角: ,172.97 ,度, surface_angle:, -10.45
角度: 36 度, 计算的夹角: ,172.68 ,度, surface_angle:, -10.62
角度: 37 度, 计算的夹角: ,172.39 ,度, surface_angle:, -10.80
角度: 38 度, 计算的夹角: ,172.08 ,度, surface_angle:, -10.99
角度: 39 度, 计算的夹角: ,171.77 ,度, surface_angle:, -11.18
角度: 40 度, 计算的夹角: ,171.45 ,度, surface_angle:, -11.38
角度: 41 度, 计算的夹角: ,171.12 ,度, surface_angle:, -11.59
角度: 42 度, 计算的夹角: ,170.77 ,度, surface_angle:, -11.80
角度: 43 度, 计算的夹角: ,170.42 ,度, surface_angle:, -12.03
角度: 44 度, 计算的夹角: ,170.05 ,度, surface_angle:, -12.26
角度: 45 度, 计算的夹角: ,169.67 ,度, surface_angle:, -12.51
角度: 46 度, 计算的夹角: ,169.27 ,度, surface_angle:, -12.76
角度: 47 度, 计算的夹角: ,168.86 ,度, surface_angle:, -13.03
角度: 48 度, 计算的夹角: ,168.43 ,度, surface_angle:, -13.30
角度: 49 度, 计算的夹角: ,167.99 ,度, surface_angle:, -13.59
角度: 50 度, 计算的夹角: ,167.53 ,度, surface_angle:, -13.90
角度: 51 度, 计算的夹角: ,167.04 ,度, surface_angle:, -14.21
角度: 52 度, 计算的夹角: ,166.54 ,度, surface_angle:, -14.55
角度: 53 度, 计算的夹角: ,166.02 ,度, surface_angle:, -14.89
角度: 54 度, 计算的夹角: ,165.47 ,度, surface_angle:, -15.26
角度: 55 度, 计算的夹角: ,164.89 ,度, surface_angle:, -15.64
角度: 56 度, 计算的夹角: ,164.29 ,度, surface_angle:, -16.04
角度: 57 度, 计算的夹角: ,163.66 ,度, surface_angle:, -16.47
角度: 58 度, 计算的夹角: ,163.00 ,度, surface_angle:, -16.91
角度: 59 度, 计算的夹角: ,162.30 ,度, surface_angle:, -17.38
角度: 60 度, 计算的夹角: ,161.56 ,度, surface_angle:, -17.88
