角度: 0 度, 计算的夹角: ,179.88 ,度, surface_angle:, -6.53
角度: 1 度, 计算的夹角: ,179.89 ,度, surface_angle:, -6.58
角度: 2 度, 计算的夹角: ,179.73 ,度, surface_angle:, -6.63
角度: 3 度, 计算的夹角: ,179.56 ,度, surface_angle:, -6.68
角度: 4 度, 计算的夹角: ,179.39 ,度, surface_angle:, -6.74
角度: 5 度, 计算的夹角: ,179.21 ,度, surface_angle:, -6.80
角度: 6 度, 计算的夹角: ,179.04 ,度, surface_angle:, -6.86
角度: 7 度, 计算的夹角: ,178.86 ,度, surface_angle:, -6.92
角度: 8 度, 计算的夹角: ,178.68 ,度, surface_angle:, -6.98
角度: 9 度, 计算的夹角: ,178.50 ,度, surface_angle:, -7.05
角度: 10 度, 计算的夹角: ,178.32 ,度, surface_angle:, -7.12
角度: 11 度, 计算的夹角: ,178.13 ,度, surface_angle:, -7.19
角度: 12 度, 计算的夹角: ,177.94 ,度, surface_angle:, -7.26
角度: 13 度, 计算的夹角: ,177.76 ,度, surface_angle:, -7.34
角度: 14 度, 计算的夹角: ,177.56 ,度, surface_angle:, -7.42
角度: 15 度, 计算的夹角: ,177.37 ,度, surface_angle:, -7.50
角度: 16 度, 计算的夹角: ,177.18 ,度, surface_angle:, -7.58
角度: 17 度, 计算的夹角: ,176.98 ,度, surface_angle:, -7.67
角度: 18 度, 计算的夹角: ,176.77 ,度, surface_angle:, -7.76
角度: 19 度, 计算的夹角: ,176.57 ,度, surface_angle:, -7.85
角度: 20 度, 计算的夹角: ,176.36 ,度, surface_angle:, -7.94
角度: 21 度, 计算的夹角: ,176.15 ,度, surface_angle:, -8.04
角度: 22 度, 计算的夹角: ,175.94 ,度, surface_angle:, -8.15
角度: 23 度, 计算的夹角: ,175.72 ,度, surface_angle:, -8.25
角度: 24 度, 计算的夹角: ,175.49 ,度, surface_angle:, -8.36
角度: 25 度, 计算的夹角: ,175.27 ,度, surface_angle:, -8.47
角度: 26 度, 计算的夹角: ,175.04 ,度, surface_angle:, -8.59
角度: 27 度, 计算的夹角: ,174.80 ,度, surface_angle:, -8.71
角度: 28 度, 计算的夹角: ,174.56 ,度, surface_angle:, -8.83
角度: 29 度, 计算的夹角: ,174.31 ,度, surface_angle:, -8.96
角度: 30 度, 计算的夹角: ,174.06 ,度, surface_angle:, -9.09
角度: 31 度, 计算的夹角: ,173.80 ,度, surface_angle:, -9.23
角度: 32 度, 计算的夹角: ,173.54 ,度, surface_angle:, -9.38
角度: 33 度, 计算的夹角: ,173.27 ,度, surface_angle:, -9.52
角度: 34 度, 计算的夹角: ,172.99 ,度, surface_angle:, -9.68
角度: 35 度, 计算的夹角: ,172.70 ,度, surface_angle:, -9.84
角度: 36 度, 计算的夹角: ,172.41 ,度, surface_angle:, -10.00
角度: 37 度, 计算的夹角: ,172.11 ,度, surface_angle:, -10.17
角度: 38 度, 计算的夹角: ,171.80 ,度, surface_angle:, -10.35
角度: 39 度, 计算的夹角: ,171.48 ,度, surface_angle:, -10.53
角度: 40 度, 计算的夹角: ,171.15 ,度, surface_angle:, -10.72
角度: 41 度, 计算的夹角: ,170.81 ,度, surface_angle:, -10.92
角度: 42 度, 计算的夹角: ,170.46 ,度, surface_angle:, -11.13
角度: 43 度, 计算的夹角: ,170.10 ,度, surface_angle:, -11.34
角度: 44 度, 计算的夹角: ,169.72 ,度, surface_angle:, -11.57
角度: 45 度, 计算的夹角: ,169.33 ,度, surface_angle:, -11.80
角度: 46 度, 计算的夹角: ,168.93 ,度, surface_angle:, -12.04
角度: 47 度, 计算的夹角: ,168.51 ,度, surface_angle:, -12.30
角度: 48 度, 计算的夹角: ,168.08 ,度, surface_angle:, -12.56
角度: 49 度, 计算的夹角: ,167.63 ,度, surface_angle:, -12.84
角度: 50 度, 计算的夹角: ,167.16 ,度, surface_angle:, -13.13
角度: 51 度, 计算的夹角: ,166.67 ,度, surface_angle:, -13.43
角度: 52 度, 计算的夹角: ,166.16 ,度, surface_angle:, -13.74
角度: 53 度, 计算的夹角: ,165.63 ,度, surface_angle:, -14.07
角度: 54 度, 计算的夹角: ,165.08 ,度, surface_angle:, -14.42
角度: 55 度, 计算的夹角: ,164.50 ,度, surface_angle:, -14.79
角度: 56 度, 计算的夹角: ,163.89 ,度, surface_angle:, -15.17
角度: 57 度, 计算的夹角: ,163.25 ,度, surface_angle:, -15.57
角度: 58 度, 计算的夹角: ,162.58 ,度, surface_angle:, -15.99
角度: 59 度, 计算的夹角: ,161.88 ,度, surface_angle:, -16.44
角度: 60 度, 计算的夹角: ,161.14 ,度, surface_angle:, -16.90
