角度: 0 度, 计算的夹角: ,179.88 ,度, surface_angle:, -37.16
角度: 1 度, 计算的夹角: ,179.53 ,度, surface_angle:, -37.18
角度: 2 度, 计算的夹角: ,179.17 ,度, surface_angle:, -37.21
角度: 3 度, 计算的夹角: ,178.81 ,度, surface_angle:, -37.24
角度: 4 度, 计算的夹角: ,178.44 ,度, surface_angle:, -37.28
角度: 5 度, 计算的夹角: ,178.08 ,度, surface_angle:, -37.33
角度: 6 度, 计算的夹角: ,177.71 ,度, surface_angle:, -37.39
角度: 7 度, 计算的夹角: ,177.34 ,度, surface_angle:, -37.45
角度: 8 度, 计算的夹角: ,176.97 ,度, surface_angle:, -37.52
角度: 9 度, 计算的夹角: ,176.60 ,度, surface_angle:, -37.60
角度: 10 度, 计算的夹角: ,176.23 ,度, surface_angle:, -37.68
角度: 11 度, 计算的夹角: ,175.85 ,度, surface_angle:, -37.77
角度: 12 度, 计算的夹角: ,175.47 ,度, surface_angle:, -37.86
角度: 13 度, 计算的夹角: ,175.09 ,度, surface_angle:, -37.97
角度: 14 度, 计算的夹角: ,174.70 ,度, surface_angle:, -38.08
角度: 15 度, 计算的夹角: ,174.31 ,度, surface_angle:, -38.19
角度: 16 度, 计算的夹角: ,173.92 ,度, surface_angle:, -38.32
角度: 17 度, 计算的夹角: ,173.52 ,度, surface_angle:, -38.45
角度: 18 度, 计算的夹角: ,173.12 ,度, surface_angle:, -38.59
角度: 19 度, 计算的夹角: ,172.71 ,度, surface_angle:, -38.73
角度: 20 度, 计算的夹角: ,172.30 ,度, surface_angle:, -38.89
角度: 21 度, 计算的夹角: ,171.88 ,度, surface_angle:, -39.05
角度: 22 度, 计算的夹角: ,171.46 ,度, surface_angle:, -39.21
角度: 23 度, 计算的夹角: ,171.04 ,度, surface_angle:, -39.39
角度: 24 度, 计算的夹角: ,170.61 ,度, surface_angle:, -39.57
角度: 25 度, 计算的夹角: ,170.17 ,度, surface_angle:, -39.76
角度: 26 度, 计算的夹角: ,169.73 ,度, surface_angle:, -39.96
角度: 27 度, 计算的夹角: ,169.28 ,度, surface_angle:, -40.16
角度: 28 度, 计算的夹角: ,168.82 ,度, surface_angle:, -40.37
角度: 29 度, 计算的夹角: ,168.36 ,度, surface_angle:, -40.59
角度: 30 度, 计算的夹角: ,167.89 ,度, surface_angle:, -40.82
角度: 31 度, 计算的夹角: ,167.41 ,度, surface_angle:, -41.05
角度: 32 度, 计算的夹角: ,166.92 ,度, surface_angle:, -41.29
角度: 33 度, 计算的夹角: ,166.43 ,度, surface_angle:, -41.55
角度: 34 度, 计算的夹角: ,165.93 ,度, surface_angle:, -41.80
角度: 35 度, 计算的夹角: ,165.42 ,度, surface_angle:, -42.07
角度: 36 度, 计算的夹角: ,164.90 ,度, surface_angle:, -42.34
角度: 37 度, 计算的夹角: ,164.37 ,度, surface_angle:, -42.62
角度: 38 度, 计算的夹角: ,163.84 ,度, surface_angle:, -42.91
角度: 39 度, 计算的夹角: ,163.29 ,度, surface_angle:, -43.21
角度: 40 度, 计算的夹角: ,162.74 ,度, surface_angle:, -43.52
角度: 41 度, 计算的夹角: ,162.17 ,度, surface_angle:, -43.83
角度: 42 度, 计算的夹角: ,161.60 ,度, surface_angle:, -44.15
角度: 43 度, 计算的夹角: ,161.01 ,度, surface_angle:, -44.48
角度: 44 度, 计算的夹角: ,160.42 ,度, surface_angle:, -44.81
角度: 45 度, 计算的夹角: ,159.81 ,度, surface_angle:, -45.16
角度: 46 度, 计算的夹角: ,159.19 ,度, surface_angle:, -45.51
角度: 47 度, 计算的夹角: ,158.56 ,度, surface_angle:, -45.86
角度: 48 度, 计算的夹角: ,157.92 ,度, surface_angle:, -46.23
角度: 49 度, 计算的夹角: ,157.27 ,度, surface_angle:, -46.60
角度: 50 度, 计算的夹角: ,156.61 ,度, surface_angle:, -46.98
角度: 51 度, 计算的夹角: ,155.93 ,度, surface_angle:, -47.36
角度: 52 度, 计算的夹角: ,155.24 ,度, surface_angle:, -47.76
角度: 53 度, 计算的夹角: ,154.54 ,度, surface_angle:, -48.15
角度: 54 度, 计算的夹角: ,153.83 ,度, surface_angle:, -48.56
角度: 55 度, 计算的夹角: ,153.10 ,度, surface_angle:, -48.96
角度: 56 度, 计算的夹角: ,152.36 ,度, surface_angle:, -49.38
角度: 57 度, 计算的夹角: ,151.61 ,度, surface_angle:, -49.79
角度: 58 度, 计算的夹角: ,150.85 ,度, surface_angle:, -50.22
角度: 59 度, 计算的夹角: ,150.07 ,度, surface_angle:, -50.64
角度: 60 度, 计算的夹角: ,149.28 ,度, surface_angle:, -51.07
