读取的文件: .\TiO6_reordered.vasp
角度: 0 度, 计算的夹角: 173.32 度
角度: 1 度, 计算的夹角: 174.28 度
角度: 2 度, 计算的夹角: 175.24 度
角度: 3 度, 计算的夹角: 176.20 度
角度: 4 度, 计算的夹角: 177.15 度
角度: 5 度, 计算的夹角: 178.10 度
角度: 6 度, 计算的夹角: 179.05 度
角度: 7 度, 计算的夹角: 179.96 度
角度: 8 度, 计算的夹角: 179.06 度
角度: 9 度, 计算的夹角: 178.13 度
角度: 10 度, 计算的夹角: 177.21 度
角度: 11 度, 计算的夹角: 176.29 度
角度: 12 度, 计算的夹角: 175.39 度
角度: 13 度, 计算的夹角: 174.49 度
角度: 14 度, 计算的夹角: 173.60 度
角度: 15 度, 计算的夹角: 172.72 度
角度: 16 度, 计算的夹角: 171.85 度
角度: 17 度, 计算的夹角: 170.99 度
角度: 18 度, 计算的夹角: 170.15 度
角度: 19 度, 计算的夹角: 169.31 度
角度: 20 度, 计算的夹角: 168.49 度
角度: 21 度, 计算的夹角: 167.68 度
角度: 22 度, 计算的夹角: 166.89 度
角度: 23 度, 计算的夹角: 166.11 度
角度: 24 度, 计算的夹角: 165.34 度
角度: 25 度, 计算的夹角: 164.58 度
角度: 26 度, 计算的夹角: 163.84 度
角度: 27 度, 计算的夹角: 163.12 度
角度: 28 度, 计算的夹角: 162.41 度
角度: 29 度, 计算的夹角: 161.71 度
角度: 30 度, 计算的夹角: 161.02 度
角度: 31 度, 计算的夹角: 160.36 度
角度: 32 度, 计算的夹角: 159.70 度
角度: 33 度, 计算的夹角: 159.06 度
角度: 34 度, 计算的夹角: 158.44 度
角度: 35 度, 计算的夹角: 157.83 度
角度: 36 度, 计算的夹角: 157.23 度
角度: 37 度, 计算的夹角: 156.65 度
角度: 38 度, 计算的夹角: 156.08 度
角度: 39 度, 计算的夹角: 155.53 度
角度: 40 度, 计算的夹角: 154.99 度
角度: 41 度, 计算的夹角: 154.46 度
角度: 42 度, 计算的夹角: 153.95 度
角度: 43 度, 计算的夹角: 153.45 度
角度: 44 度, 计算的夹角: 152.97 度
角度: 45 度, 计算的夹角: 152.49 度
角度: 46 度, 计算的夹角: 152.04 度
角度: 47 度, 计算的夹角: 151.59 度
角度: 48 度, 计算的夹角: 151.16 度
角度: 49 度, 计算的夹角: 150.74 度
角度: 50 度, 计算的夹角: 150.33 度
角度: 51 度, 计算的夹角: 149.94 度
角度: 52 度, 计算的夹角: 149.56 度
角度: 53 度, 计算的夹角: 149.19 度
角度: 54 度, 计算的夹角: 148.83 度
角度: 55 度, 计算的夹角: 148.48 度
角度: 56 度, 计算的夹角: 148.15 度
角度: 57 度, 计算的夹角: 147.83 度
角度: 58 度, 计算的夹角: 147.51 度
角度: 59 度, 计算的夹角: 147.21 度
角度: 60 度, 计算的夹角: 146.93 度
