角度: 0 度, 计算的夹角: ,179.88 ,度, surface_angle:, -3.97
角度: 1 度, 计算的夹角: ,179.55 ,度, surface_angle:, -4.03
角度: 2 度, 计算的夹角: ,179.21 ,度, surface_angle:, -4.09
角度: 3 度, 计算的夹角: ,178.86 ,度, surface_angle:, -4.15
角度: 4 度, 计算的夹角: ,178.51 ,度, surface_angle:, -4.21
角度: 5 度, 计算的夹角: ,178.16 ,度, surface_angle:, -4.27
角度: 6 度, 计算的夹角: ,177.81 ,度, surface_angle:, -4.33
角度: 7 度, 计算的夹角: ,177.46 ,度, surface_angle:, -4.40
角度: 8 度, 计算的夹角: ,177.11 ,度, surface_angle:, -4.46
角度: 9 度, 计算的夹角: ,176.75 ,度, surface_angle:, -4.53
角度: 10 度, 计算的夹角: ,176.40 ,度, surface_angle:, -4.60
角度: 11 度, 计算的夹角: ,176.04 ,度, surface_angle:, -4.67
角度: 12 度, 计算的夹角: ,175.68 ,度, surface_angle:, -4.74
角度: 13 度, 计算的夹角: ,175.31 ,度, surface_angle:, -4.81
角度: 14 度, 计算的夹角: ,174.95 ,度, surface_angle:, -4.88
角度: 15 度, 计算的夹角: ,174.58 ,度, surface_angle:, -4.96
角度: 16 度, 计算的夹角: ,174.21 ,度, surface_angle:, -5.04
角度: 17 度, 计算的夹角: ,173.83 ,度, surface_angle:, -5.11
角度: 18 度, 计算的夹角: ,173.45 ,度, surface_angle:, -5.19
角度: 19 度, 计算的夹角: ,173.07 ,度, surface_angle:, -5.28
角度: 20 度, 计算的夹角: ,172.68 ,度, surface_angle:, -5.36
角度: 21 度, 计算的夹角: ,172.28 ,度, surface_angle:, -5.45
角度: 22 度, 计算的夹角: ,171.89 ,度, surface_angle:, -5.54
角度: 23 度, 计算的夹角: ,171.48 ,度, surface_angle:, -5.63
角度: 24 度, 计算的夹角: ,171.08 ,度, surface_angle:, -5.72
角度: 25 度, 计算的夹角: ,170.66 ,度, surface_angle:, -5.81
角度: 26 度, 计算的夹角: ,170.24 ,度, surface_angle:, -5.91
角度: 27 度, 计算的夹角: ,169.82 ,度, surface_angle:, -6.01
角度: 28 度, 计算的夹角: ,169.38 ,度, surface_angle:, -6.11
角度: 29 度, 计算的夹角: ,168.94 ,度, surface_angle:, -6.22
角度: 30 度, 计算的夹角: ,168.50 ,度, surface_angle:, -6.33
角度: 31 度, 计算的夹角: ,168.04 ,度, surface_angle:, -6.44
角度: 32 度, 计算的夹角: ,167.58 ,度, surface_angle:, -6.55
角度: 33 度, 计算的夹角: ,167.10 ,度, surface_angle:, -6.67
角度: 34 度, 计算的夹角: ,166.62 ,度, surface_angle:, -6.79
角度: 35 度, 计算的夹角: ,166.13 ,度, surface_angle:, -6.91
角度: 36 度, 计算的夹角: ,165.63 ,度, surface_angle:, -7.03
角度: 37 度, 计算的夹角: ,165.11 ,度, surface_angle:, -7.16
角度: 38 度, 计算的夹角: ,164.59 ,度, surface_angle:, -7.30
角度: 39 度, 计算的夹角: ,164.05 ,度, surface_angle:, -7.44
角度: 40 度, 计算的夹角: ,163.51 ,度, surface_angle:, -7.58
角度: 41 度, 计算的夹角: ,162.94 ,度, surface_angle:, -7.72
角度: 42 度, 计算的夹角: ,162.37 ,度, surface_angle:, -7.87
角度: 43 度, 计算的夹角: ,161.78 ,度, surface_angle:, -8.03
角度: 44 度, 计算的夹角: ,161.17 ,度, surface_angle:, -8.19
角度: 45 度, 计算的夹角: ,160.54 ,度, surface_angle:, -8.35
角度: 46 度, 计算的夹角: ,159.90 ,度, surface_angle:, -8.52
角度: 47 度, 计算的夹角: ,159.24 ,度, surface_angle:, -8.69
角度: 48 度, 计算的夹角: ,158.57 ,度, surface_angle:, -8.87
角度: 49 度, 计算的夹角: ,157.87 ,度, surface_angle:, -9.06
角度: 50 度, 计算的夹角: ,157.15 ,度, surface_angle:, -9.25
角度: 51 度, 计算的夹角: ,156.40 ,度, surface_angle:, -9.45
角度: 52 度, 计算的夹角: ,155.64 ,度, surface_angle:, -9.65
角度: 53 度, 计算的夹角: ,154.84 ,度, surface_angle:, -9.87
角度: 54 度, 计算的夹角: ,154.02 ,度, surface_angle:, -10.08
角度: 55 度, 计算的夹角: ,153.17 ,度, surface_angle:, -10.31
角度: 56 度, 计算的夹角: ,152.30 ,度, surface_angle:, -10.54
角度: 57 度, 计算的夹角: ,151.39 ,度, surface_angle:, -10.78
角度: 58 度, 计算的夹角: ,150.44 ,度, surface_angle:, -11.03
角度: 59 度, 计算的夹角: ,149.46 ,度, surface_angle:, -11.29
角度: 60 度, 计算的夹角: ,148.45 ,度, surface_angle:, -11.56
