读取的文件: .\TiO6.vasp
角度: 0 度, 计算的夹角: 179.96 度, surface_angle: -89.98
角度: 1 度, 计算的夹角: 179.04 度, surface_angle: -89.02
角度: 2 度, 计算的夹角: 178.08 度, surface_angle: -88.06
角度: 3 度, 计算的夹角: 177.12 度, surface_angle: -87.10
角度: 4 度, 计算的夹角: 176.16 度, surface_angle: -86.14
角度: 5 度, 计算的夹角: 175.21 度, surface_angle: -85.19
角度: 6 度, 计算的夹角: 174.26 度, surface_angle: -84.24
角度: 7 度, 计算的夹角: 173.32 度, surface_angle: -83.30
角度: 8 度, 计算的夹角: 172.38 度, surface_angle: -82.36
角度: 9 度, 计算的夹角: 171.45 度, surface_angle: -81.43
角度: 10 度, 计算的夹角: 170.52 度, surface_angle: -80.51
角度: 11 度, 计算的夹角: 169.61 度, surface_angle: -79.59
角度: 12 度, 计算的夹角: 168.70 度, surface_angle: -78.68
角度: 13 度, 计算的夹角: 167.80 度, surface_angle: -77.78
角度: 14 度, 计算的夹角: 166.91 度, surface_angle: -76.89
角度: 15 度, 计算的夹角: 166.03 度, surface_angle: -76.01
角度: 16 度, 计算的夹角: 165.16 度, surface_angle: -75.14
角度: 17 度, 计算的夹角: 164.31 度, surface_angle: -74.29
角度: 18 度, 计算的夹角: 163.46 度, surface_angle: -73.44
角度: 19 度, 计算的夹角: 162.63 度, surface_angle: -72.61
角度: 20 度, 计算的夹角: 161.81 度, surface_angle: -71.79
角度: 21 度, 计算的夹角: 161.00 度, surface_angle: -70.98
角度: 22 度, 计算的夹角: 160.20 度, surface_angle: -70.18
角度: 23 度, 计算的夹角: 159.42 度, surface_angle: -69.40
角度: 24 度, 计算的夹角: 158.65 度, surface_angle: -68.63
角度: 25 度, 计算的夹角: 157.90 度, surface_angle: -67.88
角度: 26 度, 计算的夹角: 157.16 度, surface_angle: -67.14
角度: 27 度, 计算的夹角: 156.43 度, surface_angle: -66.41
角度: 28 度, 计算的夹角: 155.72 度, surface_angle: -65.70
角度: 29 度, 计算的夹角: 155.02 度, surface_angle: -65.00
角度: 30 度, 计算的夹角: 154.34 度, surface_angle: -64.32
角度: 31 度, 计算的夹角: 153.67 度, surface_angle: -63.65
角度: 32 度, 计算的夹角: 153.01 度, surface_angle: -63.00
角度: 33 度, 计算的夹角: 152.37 度, surface_angle: -62.36
角度: 34 度, 计算的夹角: 151.75 度, surface_angle: -61.73
角度: 35 度, 计算的夹角: 151.14 度, surface_angle: -61.12
角度: 36 度, 计算的夹角: 150.54 度, surface_angle: -60.52
角度: 37 度, 计算的夹角: 149.96 度, surface_angle: -59.94
角度: 38 度, 计算的夹角: 149.39 度, surface_angle: -59.37
角度: 39 度, 计算的夹角: 148.84 度, surface_angle: -58.82
角度: 40 度, 计算的夹角: 148.30 度, surface_angle: -58.28
角度: 41 度, 计算的夹角: 147.77 度, surface_angle: -57.75
角度: 42 度, 计算的夹角: 147.26 度, surface_angle: -57.24
角度: 43 度, 计算的夹角: 146.76 度, surface_angle: -56.74
角度: 44 度, 计算的夹角: 146.28 度, surface_angle: -56.26
角度: 45 度, 计算的夹角: 145.81 度, surface_angle: -55.79
角度: 46 度, 计算的夹角: 145.35 度, surface_angle: -55.33
角度: 47 度, 计算的夹角: 144.90 度, surface_angle: -54.88
角度: 48 度, 计算的夹角: 144.47 度, surface_angle: -54.45
角度: 49 度, 计算的夹角: 144.05 度, surface_angle: -54.03
角度: 50 度, 计算的夹角: 143.64 度, surface_angle: -53.63
角度: 51 度, 计算的夹角: 143.25 度, surface_angle: -53.23
角度: 52 度, 计算的夹角: 142.87 度, surface_angle: -52.85
角度: 53 度, 计算的夹角: 142.50 度, surface_angle: -52.48
角度: 54 度, 计算的夹角: 142.14 度, surface_angle: -52.12
角度: 55 度, 计算的夹角: 141.79 度, surface_angle: -51.78
角度: 56 度, 计算的夹角: 141.46 度, surface_angle: -51.44
角度: 57 度, 计算的夹角: 141.14 度, surface_angle: -51.12
角度: 58 度, 计算的夹角: 140.83 度, surface_angle: -50.81
角度: 59 度, 计算的夹角: 140.53 度, surface_angle: -50.51
角度: 60 度, 计算的夹角: 140.24 度, surface_angle: -50.22
